epoch,train_loss,validation_motor,validation_language,validation_goal
1,0.2517535500228405,0.1615263968706131,0.16379417479038239,0.16208545863628387
2,0.08629353002955516,0.052858930081129074,0.0529746413230896,0.05254032090306282
3,0.04776878204817573,0.04490963742136955,0.0449373722076416,0.04478536173701286
4,0.0441846470348537,0.04373505711555481,0.043743640184402466,0.04365840181708336
5,0.043516275783379875,0.04336416348814964,0.04336865246295929,0.04330414533615112
6,0.043238948099315166,0.04315151646733284,0.04315737262368202,0.04309642314910889
7,0.04298627143725753,0.04273808002471924,0.042782753705978394,0.042672012001276016
8,0.042141735864182316,0.0418088398873806,0.04204873368144035,0.04168607294559479
9,0.041562852760156,0.04129185900092125,0.041579827666282654,0.04122072085738182
10,0.04108669701963663,0.04090556874871254,0.041258253157138824,0.04081795737147331
11,0.04065830260515213,0.04015031084418297,0.040653329342603683,0.04013149067759514
12,0.03982063833003243,0.03929464891552925,0.03991290554404259,0.03956342861056328
13,0.03917984121168653,0.038565684109926224,0.039186932146549225,0.0389525480568409
14,0.038394892743478216,0.037725597620010376,0.03833368420600891,0.03834027051925659
15,0.03778101550415158,0.037403956055641174,0.037999141961336136,0.03801101818680763
16,0.03761928280194601,0.03734033182263374,0.03785758465528488,0.03794869780540466
17,0.0375466433664163,0.03727356716990471,0.03781964257359505,0.03789579123258591
18,0.03749543086936077,0.03724740818142891,0.03775302693247795,0.03790492191910744
19,0.03746326997255286,0.037198472768068314,0.03766563534736633,0.03787727281451225
20,0.0374285023038586,0.037154752761125565,0.03770678862929344,0.03783300891518593
21,0.037408427645762764,0.03717294707894325,0.03768482431769371,0.03786080703139305
22,0.037393760246535145,0.037137165665626526,0.03763037174940109,0.037817250937223434
23,0.037388119380921125,0.03717557713389397,0.03764566779136658,0.037882931530475616
24,0.03736711945384741,0.0371461920440197,0.03760780766606331,0.037797313183546066
25,0.03734020749107003,0.03713608160614967,0.037611693143844604,0.03781840205192566
26,0.03734836463506023,0.03712946176528931,0.03762300685048103,0.037815023213624954
27,0.03734340596323212,0.037093307822942734,0.03759555146098137,0.03779841959476471
28,0.037334838416427374,0.037109438329935074,0.037594567984342575,0.037784818559885025
29,0.03733445797115564,0.037096645683050156,0.037595950067043304,0.03775985166430473
30,0.03734852994481722,0.037138018757104874,0.037631187587976456,0.0378430038690567
31,0.03731692054619392,0.03707458823919296,0.037582140415906906,0.03773093596100807
32,0.037312761414796114,0.03711831569671631,0.03760084882378578,0.03781953454017639
33,0.037321123449752726,0.037077803164720535,0.03758633881807327,0.037764500826597214
34,0.03731095977127552,0.03708041086792946,0.03756656497716904,0.037783652544021606
35,0.03729920694604516,0.03710158169269562,0.03756951168179512,0.037759702652692795
36,0.03730011871084571,0.03708584979176521,0.037562109529972076,0.03774985298514366
37,0.03730431214595834,0.03707829490303993,0.03762848675251007,0.03774825111031532
38,0.037298374654104315,0.0370764322578907,0.037575386464595795,0.03781502693891525
39,0.037292584932098784,0.03710830211639404,0.03755795583128929,0.03777998685836792
40,0.037300254528721176,0.03715202212333679,0.03760933503508568,0.03780978545546532
41,0.03727070661261678,0.03704279661178589,0.03753899782896042,0.03775610029697418
42,0.03727251865590612,0.03704963997006416,0.03753170743584633,0.03775383159518242
43,0.03727703355252743,0.03707139566540718,0.03756909817457199,0.03775531426072121
44,0.03728620739032825,0.03707069158554077,0.0375092476606369,0.037754759192466736
45,0.0372637875067691,0.03704715892672539,0.03753413259983063,0.03774186596274376
46,0.03727614786475897,0.03708840161561966,0.037496522068977356,0.037726208567619324
47,0.037269966676831245,0.03703511878848076,0.03753121197223663,0.03779155761003494
48,0.03724789867798487,0.03704860433936119,0.0375019907951355,0.03775892034173012
49,0.037262840351710715,0.037041909992694855,0.03752940520644188,0.03769846260547638
50,0.037236773719390236,0.037056487053632736,0.03746001049876213,0.03768176957964897
