epoch,train_total,train_bce,train_dice,train_consistency,train_center,validation_total,validation_bce,validation_dice,validation_consistency,validation_center
1,2.3288140445947647,0.9241153597831726,0.9472807347774506,0.029049850185401738,1.7134725823998451,2.3120992183685303,0.9215825200080872,0.9470891356468201,0.009745524264872074,1.7347280979156494
2,2.295837491750717,0.9159553535282612,0.9472363255918026,0.00430268156924285,1.7133726105093956,2.2903900146484375,0.9076728820800781,0.9470680952072144,0.001976832514628768,1.734688401222229
3,2.259972646832466,0.8819216638803482,0.9473304003477097,0.002145619480870664,1.7142998650670052,2.229442596435547,0.8462874293327332,0.9476988911628723,0.001892822445370257,1.734254002571106
4,2.1774517446756363,0.8013566248118877,0.9443589337170124,0.0029549388491432182,1.715124972164631,2.136141061782837,0.7624180316925049,0.9377499222755432,0.004296604078263044,1.7267056703567505
5,2.0682623460888863,0.7106014043092728,0.9269060827791691,0.004800660943146795,1.7038168907165527,2.0222461223602295,0.6735486388206482,0.9164463877677917,0.004856438841670752,1.7095788717269897
6,1.9565336629748344,0.6307596825063229,0.9043827690184116,0.007547882531071082,1.6553733721375465,1.9038960933685303,0.5960351824760437,0.8936589956283569,0.012300319969654083,1.6076064109802246
7,1.8433366194367409,0.5611082874238491,0.8830443136394024,0.01918926928192377,1.519979067146778,1.785512089729309,0.5329874157905579,0.8699460029602051,0.026415349915623665,1.42465341091156
8,1.7111204639077187,0.5046939551830292,0.8507763333618641,0.03173624654300511,1.2956557646393776,1.664733648300171,0.4845083951950073,0.8349539041519165,0.04227748140692711,1.2119754552841187
9,1.5911189168691635,0.45284871384501457,0.8218615800142288,0.04811386647634208,1.0731790252029896,1.5307623147964478,0.4405824840068817,0.8108393549919128,0.03216002508997917,0.9887219667434692
10,1.4388925582170486,0.4080500826239586,0.7863225564360619,0.029144928674213588,0.8614999279379845,1.3876065015792847,0.39896225929260254,0.7664132714271545,0.028762677684426308,0.7738732695579529
11,1.3020643442869186,0.3674314469099045,0.7432698905467987,0.027835066663101315,0.6541117466986179,1.269579291343689,0.3602854013442993,0.7291663885116577,0.029613932594656944,0.6020540595054626
12,1.174078606069088,0.32273022271692753,0.7023993730545044,0.02803265384864062,0.4836654495447874,1.114761233329773,0.3127003610134125,0.6724376678466797,0.02618248574435711,0.4137624204158783
13,1.0544211752712727,0.28700882755219936,0.6525274515151978,0.02775464695878327,0.3485209997743368,1.0151251554489136,0.27400025725364685,0.63164222240448,0.028063319623470306,0.32567745447158813
14,0.9674199670553207,0.26187572348862886,0.6104099005460739,0.028670470928773284,0.2658555218949914,0.9332053065299988,0.2545177638530731,0.5886646509170532,0.027612797915935516,0.24964019656181335
15,0.8938561715185642,0.2361143734306097,0.5738799721002579,0.031609824392944574,0.20900797937065363,0.8749827146530151,0.23857784271240234,0.5523196458816528,0.03239843621850014,0.2067471146583557
16,0.844312597066164,0.22084331139922142,0.5430375412106514,0.03608220559544861,0.17739816009998322,0.8279630541801453,0.2217429280281067,0.5273406505584717,0.03490673378109932,0.1758909821510315
17,0.8083501942455769,0.2087476933375001,0.5217896327376366,0.038552550598978996,0.15704128379002213,0.8028884530067444,0.20977099239826202,0.5087815523147583,0.0460943840444088,0.1529662013053894
18,0.77304258197546,0.19649506080895662,0.49952324107289314,0.043179634027183056,0.13537861220538616,0.769995391368866,0.20193743705749512,0.4993417263031006,0.032602787017822266,0.14445370435714722
19,0.7311368808150291,0.18711295910179615,0.47910742461681366,0.03433309309184551,0.12233362998813391,0.7269815802574158,0.191106379032135,0.47030025720596313,0.03400551155209541,0.12627765536308289
20,0.6966663189232349,0.176846481859684,0.4593825452029705,0.03376372193451971,0.10669426620006561,0.6990550756454468,0.175847589969635,0.4601060748100281,0.03479663282632828,0.11321890354156494
21,0.6711076386272907,0.16792197991162539,0.4429852329194546,0.03673767647705972,0.0938510475680232,0.6811598539352417,0.17551618814468384,0.4411352276802063,0.038990218192338943,0.10207287967205048
22,0.649747870862484,0.16275041922926903,0.42478765174746513,0.04080717684701085,0.08561048377305269,0.6641073226928711,0.16253145039081573,0.43159055709838867,0.046867746859788895,0.0924704521894455
23,0.6305698826909065,0.1540680779144168,0.41529705747962,0.04196347831748426,0.07696506381034851,0.6415223479270935,0.15847444534301758,0.4249942898750305,0.03637271001935005,0.08672364801168442
24,0.6037788316607475,0.1501972060650587,0.4007398970425129,0.0345991289941594,0.07297040149569511,0.617012619972229,0.15236876904964447,0.4094710946083069,0.03408241271972656,0.0843612477183342
25,0.5817447490990162,0.1434296015650034,0.3877592086791992,0.03373134997673333,0.06729840161278844,0.5923051238059998,0.14574289321899414,0.3953397274017334,0.03265973925590515,0.07425088435411453
26,0.5617608688771725,0.13970544142648578,0.3740691840648651,0.03186170116532594,0.06449817959219217,0.5746759176254272,0.14648276567459106,0.3795866370201111,0.030832236632704735,0.07109706848859787
27,0.5407450702041388,0.13452820153906941,0.3607313148677349,0.030963530181907117,0.05808810377493501,0.5546332597732544,0.14190931618213654,0.366271436214447,0.029531076550483704,0.06768589466810226
28,0.524118073284626,0.1306196772493422,0.34999731555581093,0.029384979628957808,0.05646438803523779,0.5512474775314331,0.14268238842487335,0.3615188002586365,0.0298770722001791,0.06867700815200806
29,0.5069229360669851,0.1262779925018549,0.33851002901792526,0.029076958890073,0.05223182286135852,0.5253872871398926,0.13110047578811646,0.3493669033050537,0.02958144061267376,0.06135397404432297
30,0.4894822593778372,0.11978462291881442,0.3282120153307915,0.02911757247056812,0.049472220707684755,0.5424460172653198,0.1543150395154953,0.3401241898536682,0.030683906748890877,0.06929127126932144
31,0.48179685696959496,0.11966741038486362,0.319977767765522,0.030164893600158393,0.047947121784090996,0.5038430690765381,0.13577161729335785,0.3233175277709961,0.030488332733511925,0.05706222355365753
32,0.46265227906405926,0.1128885936923325,0.3088446371257305,0.029950360069051385,0.043874745490029454,0.49051252007484436,0.1232740581035614,0.3223978877067566,0.03153963387012482,0.05320366472005844
