epoch,train_total,train_positive_energy,train_negative_energy,train_hinge,validation_total,validation_positive_energy,validation_negative_energy,validation_hinge
1,1.0012926856676738,0.0017989450667907174,0.0023052086180541664,0.999493733048439,0.9969754219055176,0.00040503390482626855,0.003834652714431286,0.9965704083442688
2,0.9247706482807795,0.0025635601681036255,0.08035645921093722,0.9222071021795273,0.5970194339752197,0.013265754096210003,0.4295540750026703,0.5837536454200745
3,0.25769460511704284,0.06472385465167463,2.2607995197176933,0.1929707513190806,0.12936832010746002,0.08563991636037827,4.389328956604004,0.04372841492295265
4,0.11974777095019817,0.06634743915249904,3.921838363011678,0.05340033241858085,0.09228306263685226,0.05532078817486763,3.8850276470184326,0.036962274461984634
5,0.0944155603647232,0.06084643583744764,4.5720527569452925,0.03356912468249599,0.08368456363677979,0.05836140736937523,4.909634113311768,0.025323159992694855
6,0.08154422231018543,0.04925612142930428,4.517960608005524,0.032288102665916085,0.07260246574878693,0.036409277468919754,3.7124710083007812,0.03619318827986717
7,0.06209655664861202,0.03701465607931217,4.1933906475702925,0.025081901345402002,0.06225105747580528,0.03773271664977074,4.209014415740967,0.024518338963389397
8,0.06500944588333368,0.03323980110387007,4.281601389249166,0.031769644391412534,0.061122696846723557,0.030931642279028893,4.137190818786621,0.030191050842404366
9,0.05248161079362035,0.026903152621040743,4.353128870328267,0.02557845856063068,0.055155906826257706,0.024184798821806908,4.193319320678711,0.030971111729741096
10,0.04660704359412193,0.021516301048298676,4.744582970937093,0.025090742235382397,0.042700011283159256,0.024964675307273865,4.951272010803223,0.017735334113240242
11,0.031727345970769726,0.019475831494977076,5.382455110549927,0.01225151556233565,0.03954733535647392,0.017561957240104675,5.178381443023682,0.021985379979014397
12,0.027763718894372385,0.013726555742323399,5.269539912541707,0.014037162453557054,0.0341031439602375,0.014337887056171894,5.020551681518555,0.019765259698033333
13,0.02712017809972167,0.013308825281759104,5.777932405471802,0.013811352817962566,0.028438204899430275,0.015224250964820385,6.310752868652344,0.013213954865932465
14,0.023731672825912636,0.013304198548818627,6.808788935343425,0.010427473889042934,0.02369065023958683,0.014404788613319397,6.975252151489258,0.009285863488912582
15,0.02452698249059419,0.011229134863242507,7.1579744418462115,0.01329784762735168,0.01963610015809536,0.011395755223929882,6.9799346923828125,0.008240344002842903
16,0.017699213077624638,0.00932139476450781,7.626912713050842,0.008377818080286184,0.019035739824175835,0.010920326225459576,7.634799957275391,0.008115414530038834
17,0.01524204279606541,0.009763483190909028,8.379910429318747,0.005478559605156382,0.017567569389939308,0.0103269899263978,7.918934345245361,0.007240579929202795
18,0.016576295990186434,0.008219084236770868,8.01613473892212,0.008357211559390029,0.015654265880584717,0.008546232245862484,7.7088704109191895,0.0071080345660448074
19,0.008690981077961624,0.007139974894622962,8.358219742774963,0.0015510061445335548,0.013855543918907642,0.007488373667001724,7.6807169914245605,0.0063671693205833435
20,0.013438970316201448,0.0063709001600121455,8.060209115346273,0.007068070350214839,0.012289625592529774,0.007664586883038282,7.835683345794678,0.004625037778168917
21,0.015003530463824669,0.006792647220815222,9.06729253133138,0.00821088308778902,0.01195517834275961,0.008699667640030384,9.303415298461914,0.003255510004237294
22,0.01554995794625332,0.008039505764221152,9.912721951802572,0.007510451677565773,0.011554792523384094,0.00791161973029375,9.30507755279541,0.003643173025920987
23,0.015093005922002098,0.007197222439572215,9.266571839650473,0.007895783598845204,0.013625542633235455,0.00880721677094698,9.524577140808105,0.004818323999643326
24,0.012167861064275106,0.008815249855009219,10.46264942487081,0.0033526113256812096,0.015889523550868034,0.010249177925288677,9.299254417419434,0.0056403446942567825
25,0.01380222380006065,0.006920048811783393,9.486100435256958,0.006882175027082364,0.011977667920291424,0.007814383134245872,9.625492095947266,0.004163283389061689
26,0.007221814283790688,0.006018976370493571,10.075361728668213,0.0012028378744920094,0.010998315177857876,0.006727688014507294,9.34360408782959,0.00427062576636672
27,0.011869084633265933,0.005283916330275436,10.059430917104086,0.006585168341795604,0.01196311041712761,0.007418452296406031,9.898890495300293,0.004544656723737717
28,0.01338008310024937,0.0062231097447996335,11.013716061909994,0.007156973239034414,0.012095960788428783,0.008039199747145176,10.568947792053223,0.004056761506944895
29,0.006420571046570937,0.005544278925905625,10.958012501398722,0.0008762920430550972,0.01101479958742857,0.006417149677872658,9.833843231201172,0.004597649443894625
30,0.009692264293941358,0.005265190343682964,10.95344336827596,0.004427074144283931,0.012240536510944366,0.007685767021030188,11.104541778564453,0.004554769955575466
31,0.009526497994860014,0.005785088792132835,11.274272600809732,0.0037414093191425004,0.011070705950260162,0.006211459636688232,10.24410343170166,0.004859246779233217
32,0.011257188666301468,0.0050298334487403435,11.306516329447428,0.006227354907120268,0.009744521230459213,0.006698373705148697,11.04968547821045,0.0030461475253105164
33,0.009823319114123782,0.005105231384125848,11.485148827234903,0.004718087846413255,0.010346661321818829,0.006271787453442812,11.023280143737793,0.004074873868376017
34,0.01071602622202287,0.004739374970085919,11.46135139465332,0.005976651329547167,0.009789945557713509,0.006688395049422979,11.263365745544434,0.003101550741121173
35,0.010948541108518839,0.005405675231789549,12.055489460627237,0.005542865721508861,0.009222292341291904,0.006082538515329361,11.250404357910156,0.0031397535931319
36,0.006593381054699421,0.004439849096039931,11.450989882151285,0.0021535318810492754,0.009831011295318604,0.005896739661693573,11.278363227844238,0.003934271167963743
37,0.007807559527767201,0.005069534061476588,12.379043022791544,0.0027380253498752913,0.011352218687534332,0.008216573856770992,12.655708312988281,0.0031356438994407654
38,0.007295589777640998,0.005714727061179777,12.532485246658325,0.0015808626388510068,0.009090197272598743,0.00583800720050931,11.314285278320312,0.0032521893735975027
39,0.009909523301757872,0.005239105666987598,12.255564053853353,0.004670417712380488,0.01031718123704195,0.007528985384851694,13.161979675292969,0.0027881970163434744
40,0.00821848000244548,0.005875423434190452,13.434212366739908,0.0023430566458652415,0.010298888199031353,0.007258351892232895,12.791293144226074,0.0030405360739678144
41,0.008968312681342164,0.0052305794864272075,13.505592266718546,0.0037377331561098495,0.009718411602079868,0.006211209576576948,12.634833335876465,0.003507202723994851
42,0.007063880485172073,0.004951903324884673,13.48277465502421,0.002111977276702722,0.009426958858966827,0.006229498889297247,12.862197875976562,0.003197461599484086
43,0.011297158237236241,0.004503145348280668,13.506035804748535,0.006794012772540252,0.00892519112676382,0.006623838096857071,13.56378173828125,0.002301352098584175
44,0.006299392223202934,0.004628771042916924,14.432124535242716,0.00167062118028601,0.008688918314874172,0.005615791771560907,13.108939170837402,0.0030731267761439085
45,0.007872931038339933,0.004476571882454057,14.039113918940226,0.0033963589618603387,0.010694172233343124,0.007648445200175047,14.078944206237793,0.00304572656750679
46,0.008978432510048151,0.0052900831603134675,14.619017283121744,0.003688349388539791,0.009387732483446598,0.006337218452244997,13.745692253112793,0.003050512634217739
47,0.005679282340376328,0.004441453202161938,14.331271966298422,0.0012378291382143896,0.00893508642911911,0.0058295950293540955,12.9613037109375,0.0031054916325956583
48,0.005446014809422195,0.004176917912748952,13.606684764226278,0.0012690970518936713,0.008607200346887112,0.006345044821500778,13.821372985839844,0.0022621548268944025
49,0.006961234107924004,0.004484684284155567,13.882318019866943,0.0024765500177939734,0.008876766078174114,0.005896339192986488,13.163780212402344,0.002980426186695695
50,0.006501154547246794,0.0043507678201422095,14.480493783950806,0.00215038664949437,0.007719691842794418,0.0050706700421869755,13.035298347473145,0.0026490213349461555
