epoch,train_total,train_reconstruction,train_goal_classification,train_kl,train_kl_raw,val_total,val_reconstruction,val_goal_classification,val_kl,val_kl_raw
1,1.0360595881938934,0.8340070396661758,2.0060479640960693,1.4477713108062744,1.093875877559185,0.35159832239151,0.23670709133148193,1.0489473342895508,9.996481895446777,9.996481895446777
2,0.24114767089486122,0.1540709063410759,0.39462041901424527,47.61471962928772,47.61471962928772,0.22754624485969543,0.15954366326332092,0.011766345240175724,66.82593536376953,66.82593536376953
3,0.20218833908438683,0.16198644042015076,0.010114340111613274,39.19046401977539,39.19046401977539,0.16006173193454742,0.14716312289237976,0.015531234443187714,11.34549617767334,11.34549617767334
4,0.1463356912136078,0.13366584479808807,0.0432364484295249,8.3461993932724,8.3461993932724,0.10476681590080261,0.08974651247262955,0.08920930325984955,6.0993757247924805,6.0993757247924805
5,0.09874195978045464,0.07725299894809723,0.16380081698298454,5.1088787317276,5.1088787317276,0.057980749756097794,0.04781699180603027,0.05139201506972313,5.024556636810303,5.024556636810303
6,0.06255907192826271,0.05254689510911703,0.049674975918605924,5.044678568840027,5.044678568840027,0.0394463874399662,0.03324021026492119,0.004337062127888203,5.772471904754639,5.772471904754639
7,0.045504722744226456,0.03942289389669895,0.003799112280830741,5.701917290687561,5.701917290687561,0.03217976540327072,0.02603183127939701,0.0006135719595476985,6.086577415466309,6.086577415466309
8,0.0391386142000556,0.033071741461753845,0.0005887316801818088,6.007999062538147,6.007999062538147,0.030779218301177025,0.025093140080571175,0.00019582388631533831,5.666494846343994,5.666494846343994
9,0.036896501667797565,0.03146950900554657,0.00023576921739731915,5.403416752815247,5.403416752815247,0.026599032804369926,0.021794429048895836,0.00011326721869409084,4.793276786804199,4.793276786804199
10,0.03201468242332339,0.027481576427817345,0.00014903231931384653,4.518203496932983,4.518203496932983,0.023925282061100006,0.020203348249197006,0.0001121022505685687,3.7107250690460205,3.7107250690460205
11,0.030619837809354067,0.02700732182711363,0.0002537861764722038,3.587136447429657,3.587136447429657,0.022982271388173103,0.01998666301369667,0.00011335629096720368,2.984272003173828,2.984272003173828
12,0.028995745349675417,0.025943119078874588,0.00020257147843949497,3.032369017601013,3.032369017601013,0.02127833291888237,0.01877039670944214,0.0001103722388506867,2.4968974590301514,2.4968974590301514
13,0.0275587635114789,0.024942577350884676,0.0002378840399615001,2.5923975706100464,2.5878450870513916,0.020017355680465698,0.0177021361887455,9.996191511163488e-05,2.305223226547241,2.2295868396759033
14,0.026697552297264338,0.02414841204881668,0.00020302069970057346,2.528838336467743,2.4968510270118713,0.0199429914355278,0.017512522637844086,7.046215614536777e-05,2.42342209815979,2.33685302734375
15,0.025988941080868244,0.023427608888596296,0.0001232665526913479,2.5490052700042725,2.5042312145233154,0.019464965909719467,0.017050759866833687,6.77597927278839e-05,2.4074289798736572,2.294498920440674
16,0.025679792743176222,0.02316590491682291,0.00010861547343665734,2.503026306629181,2.4541260600090027,0.0194693710654974,0.017078304663300514,6.470709195127711e-05,2.384596109390259,2.280822992324829
17,0.025301363319158554,0.022852289490401745,0.00012651061842916533,2.436422884464264,2.383881628513336,0.019152000546455383,0.01691199280321598,7.444645598297939e-05,2.232563018798828,2.0800795555114746
18,0.02483457885682583,0.022561879362910986,0.00013227612726041116,2.25947242975235,2.1647890210151672,0.018987439572811127,0.016879955306649208,8.481663826387376e-05,2.0990023612976074,1.8766860961914062
19,0.024683266412466764,0.02252941159531474,0.00015949246517266147,2.1379047632217407,2.0033755004405975,0.018932394683361053,0.01689789816737175,8.793365122983232e-05,2.0257022380828857,1.7608058452606201
20,0.0243932600133121,0.022313526831567287,0.0001780213297024602,2.0619311928749084,1.9008323848247528,0.018661219626665115,0.01667742431163788,8.879446249920875e-05,1.9749153852462769,1.71267569065094
21,0.024105454329401255,0.022050731349736452,0.0001702065383142326,2.037702202796936,1.8778387308120728,0.01850801520049572,0.016547828912734985,8.443964179605246e-05,1.951743245124817,1.6503963470458984
22,0.0239052209071815,0.02189196879044175,0.0001401944100507535,1.9992323517799377,1.8013763129711151,0.018343983218073845,0.01640910468995571,8.213632827391848e-05,1.9266644716262817,1.5939218997955322
23,0.023653732147067785,0.021669750101864338,0.0001356560824206099,1.9704161584377289,1.750014752149582,0.0181925967335701,0.016294024884700775,8.069259638432413e-05,1.890501856803894,1.5430221557617188
24,0.023421113844960928,0.021481797099113464,0.0001466129906475544,1.924655556678772,1.6868867576122284,0.01793752983212471,0.01609225571155548,8.389699360122904e-05,1.8368841409683228,1.4688234329223633
25,0.02319701947271824,0.021317963022738695,0.00016312134175677784,1.862745076417923,1.604581892490387,0.017681969329714775,0.015885435044765472,8.75853729667142e-05,1.7877763509750366,1.3771735429763794
26,0.022833734285086393,0.020999275147914886,0.00014941385234124027,1.8195181488990784,1.5026322305202484,0.01738053746521473,0.015617570839822292,8.634584082756191e-05,1.754331350326538,1.3399934768676758
27,0.022773411590605974,0.02097719069570303,0.00014417779129871633,1.7818028330802917,1.4767005443572998,0.01711057685315609,0.015370127744972706,8.113597141345963e-05,1.7323358058929443,1.352792501449585
28,0.02216946566477418,0.020398494321852922,0.00012399850675137714,1.7585720121860504,1.4572013020515442,0.01674479991197586,0.015050792135298252,8.705163781996816e-05,1.6853017807006836,1.2424589395523071
29,0.02189101092517376,0.020172041840851307,0.000146766167745227,1.7042921781539917,1.3658907413482666,0.01650284230709076,0.01483143400400877,7.941714284243062e-05,1.6634660959243774,1.2177507877349854
30,0.021600079257041216,0.01990997977554798,0.00014983376422605943,1.6751168370246887,1.3336322009563446,0.016221772879362106,0.01459049154073,7.941449439385906e-05,1.623339295387268,1.2153126001358032
31,0.021556568332016468,0.019904987886548042,0.0001306268295593327,1.6385178565979004,1.314126968383789,0.016038507223129272,0.014440758153796196,7.506245310651138e-05,1.5902434587478638,1.2014788389205933
32,0.021142580546438694,0.019537211395800114,0.00013922949256084394,1.5914457142353058,1.3078957796096802,0.015856729820370674,0.01431821659207344,7.974127947818488e-05,1.5305392742156982,1.1462907791137695
33,0.020988987758755684,0.019443021155893803,0.00013838838276569732,1.5321276187896729,1.205563873052597,0.01563309133052826,0.014174493961036205,9.508022048976272e-05,1.449089765548706,1.029623031616211
34,0.02074538404121995,0.019283077213913202,0.0002432035907986574,1.4379863440990448,1.1059913337230682,0.015441995114088058,0.014048554003238678,0.00010962783562717959,1.3824783563613892,0.9670964479446411
35,0.020482100546360016,0.019080974627286196,0.00023451232482329942,1.3776742815971375,1.0521588921546936,0.015039748512208462,0.013703709468245506,0.00013270042836666107,1.3227683305740356,0.9586859345436096
36,0.020266722422093153,0.018909295555204153,0.0002544782364566345,1.33197882771492,1.037331908941269,0.01459254790097475,0.013285553082823753,0.00016496900934726,1.2904987335205078,0.9314481616020203
37,0.01989286532625556,0.018540208227932453,0.00034082394267898053,1.3185752034187317,1.0553574860095978,0.013933136127889156,0.012568797916173935,0.0001872855646070093,1.3456089496612549,0.9924063682556152
38,0.019027551170438528,0.017553628887981176,0.00041446137765888125,1.4324763715267181,1.2079439461231232,0.013233670964837074,0.011713757179677486,0.000245953124249354,1.4953186511993408,1.1705951690673828
39,0.018411954399198294,0.01675531710498035,0.0004058270496898331,1.616054207086563,1.4866949915885925,0.012141108512878418,0.01045919768512249,0.00020064432465005666,1.6618461608886719,1.432199478149414
40,0.016742934472858906,0.014848636696115136,0.00041131772013613954,1.853166401386261,1.7121269702911377,0.010782905854284763,0.00886058621108532,0.00028491768171079457,1.8938274383544922,1.7565768957138062
