epoch,train_total,train_reconstruction,train_dynamics,train_position,val_total,val_reconstruction,val_dynamics,val_position
1,0.8035079762339592,0.1413602326065302,0.005315563961630687,3.25758296251297,0.8106034696102142,0.12186334282159805,0.01666062045842409,3.27709424495697
2,0.8940271213650703,0.09124395297840238,0.07940426655113697,3.2198731005191803,1.0472602248191833,0.05224592983722687,0.16696740686893463,3.3053975105285645
3,0.8811356276273727,0.03809066326357424,0.0960814319550991,3.254410356283188,0.8619192540645599,0.02593228965997696,0.10085389763116837,3.171395778656006
4,0.804371789097786,0.02070783614180982,0.0943735996261239,2.974583625793457,0.6953900754451752,0.016209546476602554,0.06856012344360352,2.710301399230957
5,0.6673861220479012,0.016971729462966323,0.08498478960245848,2.40222404897213,0.6174225807189941,0.023827011696994305,0.10162144526839256,1.9517633318901062
6,0.6267480552196503,0.03252605861052871,0.13836257718503475,1.587484210729599,0.6004116237163544,0.04407922923564911,0.16501439362764359,1.1315179467201233
7,0.5388142317533493,0.050270235165953636,0.15060071647167206,0.9367127865552902,0.5150765180587769,0.05613767169415951,0.16644947230815887,0.630199521780014
8,0.491417832672596,0.053168573416769505,0.16303839161992073,0.5608623586595058,0.4848242849111557,0.04915122129023075,0.17359959334135056,0.44236934185028076
9,0.4416964575648308,0.04145475709810853,0.16312683932483196,0.36994006484746933,0.45455361902713776,0.03409711457788944,0.18222586065530777,0.28002388775348663
10,0.4112241119146347,0.02895365608856082,0.1644690055400133,0.26666219159960747,0.4213598072528839,0.024765178561210632,0.17735908180475235,0.2093823477625847
11,0.38680408149957657,0.02137449337169528,0.16224468313157558,0.20470109209418297,0.3946819305419922,0.019582712091505527,0.1711275354027748,0.16422080993652344
12,0.38618217781186104,0.017275726073421538,0.16909955069422722,0.1535367676988244,0.3938549906015396,0.016131248325109482,0.1776181384921074,0.11243728175759315
13,0.37969648092985153,0.014600538415834308,0.17250831238925457,0.10039657261222601,0.3884578049182892,0.014222197234630585,0.1796586886048317,0.07459115982055664
14,0.3690272718667984,0.012986059067770839,0.17148607596755028,0.06534531386569142,0.38133634626865387,0.012915341649204493,0.17954286932945251,0.04667632281780243
15,0.37397968024015427,0.01221664494369179,0.17624345421791077,0.04638063767924905,0.3880414515733719,0.012089209165424109,0.18400570005178452,0.0397042166441679
16,0.37349025160074234,0.011337856412865222,0.17722023837268353,0.03855957789346576,0.3877406418323517,0.011536283884197474,0.18479885905981064,0.033033180981874466
17,0.3596790097653866,0.010658817715011537,0.1709336955100298,0.035763987340033054,0.3800387978553772,0.010825968347489834,0.18135452270507812,0.03251891769468784
18,0.35657765716314316,0.010623635491356254,0.16937420703470707,0.03602803451940417,0.4069793224334717,0.01066369703039527,0.19400542974472046,0.041523782536387444
19,0.36670375242829323,0.010131678311154246,0.17461730726063251,0.03668729914352298,0.3592209219932556,0.010849171783775091,0.17070767283439636,0.03478209488093853
20,0.3353479839861393,0.010113783646374941,0.15978985838592052,0.02827239246107638,0.3471406400203705,0.009882117621600628,0.16617456823587418,0.024546957574784756
21,0.3075242303311825,0.009276237688027322,0.14666850492358208,0.024554949020966887,0.31460754573345184,0.009378563612699509,0.1505134105682373,0.021010768599808216
22,0.28799258545041084,0.008981210878118873,0.1374786291271448,0.02027059136889875,0.3111668527126312,0.008935590740293264,0.14918243885040283,0.019331973046064377
23,0.2922210432589054,0.008479737443849444,0.1400164868682623,0.018541629891842604,0.2900710999965668,0.008334591519087553,0.138853557407856,0.020146965980529785
24,0.2844249941408634,0.008031823264900595,0.1364040970802307,0.0179248817730695,0.29641401767730713,0.008081427775323391,0.1426229625940323,0.015433349180966616
25,0.2984385974705219,0.0078553591738455,0.14381767250597477,0.014739478821866214,0.3043612092733383,0.00772360828705132,0.1468837633728981,0.014350388664752245
26,0.30701081082224846,0.0074975884053856134,0.1484235990792513,0.01333011849783361,0.32300955057144165,0.007240841165184975,0.15662236511707306,0.01261990750208497
27,0.313735019415617,0.007219623774290085,0.15195907466113567,0.012986216228455305,0.3336283713579178,0.007371387677267194,0.1620256006717682,0.01102899294346571
28,0.32938582077622414,0.007300881727132946,0.15993997268378735,0.011025003273971379,0.35204771161079407,0.006974849849939346,0.17147323489189148,0.010631988756358624
29,0.33026494085788727,0.006682791921775788,0.16092111729085445,0.008699574798811227,0.3530822694301605,0.006578083848580718,0.17246154695749283,0.007905434351414442
30,0.325284406542778,0.006375725963152945,0.1587205808609724,0.007337574323173612,0.3590831458568573,0.006352794822305441,0.17562922090291977,0.007359565934166312
31,0.3217233084142208,0.00608289847150445,0.15710183419287205,0.0071837122668512166,0.3497742861509323,0.006109611364081502,0.17114578187465668,0.006865570088848472
32,0.32376036420464516,0.005772597447503358,0.15828854218125343,0.0070534017868340015,0.3604717254638672,0.005727528128772974,0.1765793189406395,0.007927725091576576
33,0.3218518793582916,0.005473706522025168,0.15754063799977303,0.006484461249783635,0.352845698595047,0.005430452758446336,0.17313169687986374,0.005759332329034805
34,0.3224690183997154,0.0051216266001574695,0.15810934826731682,0.005643469572532922,0.33446693420410156,0.0049178628250956535,0.1641768515110016,0.005976816872134805
35,0.3046540841460228,0.004713151720352471,0.1493663527071476,0.0060411758604459465,0.32792094349861145,0.004622085019946098,0.16103045642375946,0.006189756328240037
36,0.28803445026278496,0.004446128848940134,0.1412042323499918,0.005899336014408618,0.3115004301071167,0.004364788997918367,0.1529501974582672,0.006176242139190435
37,0.273345984518528,0.0041599959949962795,0.13395382650196552,0.00639166054315865,0.29215793311595917,0.004142452031373978,0.14334923028945923,0.006585022201761603
38,0.26776963472366333,0.004072643001563847,0.13123672734946012,0.00611766055226326,0.293399453163147,0.0040471856482326984,0.14406196773052216,0.00614168681204319
39,0.2538296692073345,0.0038876572507433593,0.1243646489456296,0.006063578475732356,0.2794393301010132,0.003840138087980449,0.1371445506811142,0.006550501333549619
40,0.25207005627453327,0.003787013265537098,0.1235291762277484,0.00612346752313897,0.27830423414707184,0.0037578962510451674,0.13667497038841248,0.005982003407552838
