epoch,train_total,train_one_step,train_overshooting,val_total,val_one_step,val_overshooting
1,0.0525928633287549,0.010950238560326397,0.08328524976968765,0.0372186042368412,0.0070338500663638115,0.06036951020359993
2,0.03881499916315079,0.006896622362546623,0.06383675243705511,0.029019493609666824,0.0047713168896734715,0.04849635437130928
3,0.02631668047979474,0.004400518024340272,0.043832325376570225,0.0251302607357502,0.00452870037406683,0.04120312258601189
4,0.027705070562660694,0.005283072590827942,0.04484399501234293,0.024427220225334167,0.0047466931864619255,0.03936105594038963
5,0.023205258883535862,0.004458280396647751,0.037493957206606865,0.021720973774790764,0.0038574698846787214,0.03572700917720795
6,0.021980146877467632,0.003935776767320931,0.03608873952180147,0.02206803672015667,0.0037374149542301893,0.03666124492883682
7,0.01988758100196719,0.0034057043376378715,0.032963753677904606,0.017767081037163734,0.0028817744459956884,0.029770612716674805
8,0.017896464560180902,0.002922629937529564,0.029947669710963964,0.016719764098525047,0.0026180145796388388,0.02820350043475628
9,0.01663061883300543,0.0025500464253127575,0.02816114528104663,0.015070214867591858,0.002127468353137374,0.02588549256324768
10,0.01484677754342556,0.0021118336590006948,0.025469887536019087,0.014036189764738083,0.00194415298756212,0.024184074252843857
11,0.013391003711149096,0.0018799630051944405,0.02302208123728633,0.012094066478312016,0.0016441454645246267,0.02089984156191349
12,0.011934292735531926,0.0016665560542605817,0.020535473246127367,0.010971634648740292,0.0015068978536874056,0.01892947405576706
13,0.010414417367428541,0.001440889434888959,0.017947055399417877,0.009607719257473946,0.0012446404434740543,0.016726158559322357
14,0.009065221529453993,0.0012013060913886875,0.015727831050753593,0.008204909972846508,0.0010221857810392976,0.014365448616445065
15,0.007767504430375993,0.0009732036996865645,0.013588601723313332,0.006667703855782747,0.0007979234796948731,0.011739560402929783
16,0.006452848552726209,0.000770379017922096,0.011364939156919718,0.0057489313185215,0.0006405937019735575,0.010216674767434597
17,0.005264420062303543,0.0005984754970995709,0.009331889217719436,0.004372529219835997,0.00048632483230903745,0.007772408425807953
18,0.004357637488283217,0.0004782586984219961,0.007758757681585848,0.003789206501096487,0.0003945300413761288,0.006789352744817734
19,0.003644868324045092,0.0003886782069457695,0.0065123800886794925,0.0030803026165813208,0.000318468373734504,0.005523668602108955
20,0.0032631917856633663,0.00032225621544057503,0.005881871096789837,0.0028838992584496737,0.00027189726824872196,0.0052240039221942425
21,0.0031621934613212943,0.0002853652695193887,0.005753656383603811,0.002806781092658639,0.0002454696805216372,0.005122622940689325
22,0.0031001644674688578,0.00026236416306346655,0.005675600608810782,0.002668429398909211,0.00022319635900203139,0.00489046610891819
23,0.0031192078022286296,0.0002471788611728698,0.0057440579403191805,0.0027792539913207293,0.00021710900182370096,0.005124290008097887
24,0.0030193754355423152,0.00023415801842929795,0.00557043484877795,0.002580155385658145,0.00020124686125200242,0.004757816903293133
25,0.0029958412051200867,0.00022879844982526265,0.005534085561521351,0.002562020206823945,0.0001955806219484657,0.004732879344373941
26,0.0029327654629014432,0.0002230456011602655,0.005419439752586186,0.0026100105606019497,0.0001966715499293059,0.004826677963137627
27,0.002907664398662746,0.00022009445092407987,0.005375139997340739,0.002589138923212886,0.00019377496209926903,0.0047907279804348946
28,0.0028916828450746834,0.00021900973661104217,0.005345346173271537,0.002541248220950365,0.00019002071348950267,0.004702454898506403
29,0.0028674822533503175,0.00021784811906400137,0.005299268173985183,0.002560058608651161,0.00019192950276192278,0.004736258182674646
30,0.002887770300731063,0.00021893240409553982,0.005337675800547004,0.002509304555132985,0.00018635873857419938,0.004645891487598419
31,0.002823771385010332,0.00021390943948063068,0.005219723912887275,0.002402188256382942,0.00018030805222224444,0.004443760495632887
32,0.0027963920729234815,0.00021095357806188986,0.005170876975171268,0.0025636921636760235,0.00018724163237493485,0.004752900917083025
33,0.00282506225630641,0.00021171883781789802,0.005226686946116388,0.002451011911034584,0.00018130028911400586,0.004539423156529665
34,0.00287541322177276,0.000213331361010205,0.005324163590557873,0.0024356869980692863,0.00017897439829539508,0.004513425286859274
35,0.0030407855520024896,0.00021847551033715717,0.005644620046950877,0.0028457622975111008,0.00019709920161403716,0.0052973260171711445
36,0.0030977881979197264,0.00021890394782531075,0.005757768405601382,0.0027018017135560513,0.00018948492652270943,0.0050246333703398705
37,0.0029984721913933754,0.0002162773052987177,0.005564389866776764,0.0025872355327010155,0.0001831542031140998,0.004808162804692984
38,0.002979756216518581,0.0002120732569892425,0.005535365897230804,0.0025159793440252542,0.0001809469540603459,0.0046700648963451385
39,0.002914570504799485,0.00021144903439562768,0.005406242911703885,0.0028891076799482107,0.00019673134374897927,0.005384752526879311
40,0.0030856269295327365,0.00021911102885496803,0.005733031663112342,0.0024000927805900574,0.00017207155178766698,0.0044560423120856285
41,0.0029240556177683175,0.00020872488312306814,0.0054306614911183715,0.0029271086677908897,0.00020063301781192422,0.005452951416373253
42,0.003001537872478366,0.00021336174540920183,0.005576352239586413,0.0024497774429619312,0.00017394984024576843,0.004551655147224665
43,0.0030149302911013365,0.0002138568706868682,0.005602146848104894,0.002389165572822094,0.00016979928477667272,0.004438732750713825
44,0.0028361452859826386,0.00020184864843031392,0.005268593318760395,0.0026404999662190676,0.00018327664292883128,0.004914446733891964
45,0.002861761546228081,0.00020482376567088068,0.0053138756193220615,0.0024025251623243093,0.0001700170832918957,0.004465016070753336
46,0.002939871686976403,0.00020679949011537246,0.005466144415549934,0.002865478163585067,0.0001924016250995919,0.0053461529314517975
47,0.0029000634094700217,0.00020362128998385742,0.005392884253524244,0.0023722676560282707,0.0001667341566644609,0.004411066882312298
48,0.002779104048386216,0.0001980256347451359,0.0051621568854898214,0.002784354379400611,0.00018587034719530493,0.0051969680935144424
49,0.002883375156670809,0.00020262943144189194,0.005361491348594427,0.0022740571293979883,0.0001627379097044468,0.004222638439387083
50,0.0027623717323876917,0.00019671296468004584,0.005131317535415292,0.00254722498357296,0.000174487751792185,0.004745474550873041
51,0.002896544407121837,0.00020110407422180288,0.0053908806294202805,0.002488004043698311,0.00017251624376513064,0.004630975425243378
52,0.002830977726262063,0.0001999969572352711,0.005261961603537202,0.0027257909532636404,0.0001828304521040991,0.005085920915007591
53,0.0031133382581174374,0.0002119607524946332,0.005802755011245608,0.0029137462843209505,0.00019437889568507671,0.005438734777271748
54,0.003021775046363473,0.00020741548723890446,0.005628719110973179,0.002380416728556156,0.00016522075748071074,0.004430391825735569
55,0.0028307935572229326,0.00019881732077919878,0.005263952421955764,0.0023176365066319704,0.00016175583004951477,0.004311761353164911
56,0.002704435959458351,0.000189968563063303,0.005028934800066054,0.0024714460596442223,0.00017042628314811736,0.004602039698511362
57,0.002804469899274409,0.00019557664927560836,0.005217786529101431,0.0023323623463511467,0.0001615847140783444,0.004341555293649435
58,0.002808848803397268,0.00019645975407911465,0.005224778200499713,0.0022706445306539536,0.00015906922635622323,0.004223150666803122
59,0.0029804876539856195,0.0002034904100582935,0.005553994444198906,0.0029801814816892147,0.00019680267723742872,0.005566757638007402
60,0.0028526680544018745,0.00019807807257166132,0.005309180007316172,0.002428357256576419,0.0001659848348936066,0.004524745047092438
61,0.002868753101211041,0.0002006877402891405,0.005336130736395717,0.002222928451374173,0.00015524147602263838,0.0041353739798069
62,0.0027792375185526907,0.00019122616140521131,0.005176022765226662,0.002551010809838772,0.00017351664428133518,0.004754988476634026
63,0.002721810422372073,0.00019173383043380454,0.005060153198428452,0.00234417081810534,0.0001617281377548352,0.00436488538980484
64,0.0028109311824664474,0.00019331292423885316,0.005235236487351358,0.002676774049177766,0.000179223163286224,0.004995101597160101
65,0.002850937016773969,0.00019498974143061787,0.005311894696205854,0.002263252157717943,0.0001564313715789467,0.00421364139765501
66,0.0026959343813359737,0.00018789511523209512,0.005016078474000096,0.002260510576888919,0.00015618170436937362,0.004208657890558243
67,0.0026585384039208293,0.00018504155741538852,0.004946993663907051,0.0024358124937862158,0.00016574840992689133,0.004540128167718649
68,0.0027230290579609573,0.0001869914267444983,0.005072075291536748,0.0023611211217939854,0.00016164140834007412,0.004398959223181009
69,0.0027048682095482945,0.00018784465282806195,0.005034047178924084,0.0022395264822989702,0.0001542360259918496,0.004170580767095089
70,0.0026882318779826164,0.00018677943080547266,0.00500290491618216,0.0022711302153766155,0.00015587493544444442,0.00423051044344902
71,0.0026362534845247865,0.0001824879764171783,0.004907531081698835,0.0022659790702164173,0.00015691833687014878,0.004218121524900198
72,0.002619532053358853,0.0001817364973248914,0.004875591199379414,0.0022277487441897392,0.0001536681957077235,0.0041481610387563705
73,0.002583316760137677,0.00018138781524612568,0.004803857766091824,0.0022392927203327417,0.00015355829964391887,0.004171468783169985
74,0.002646410372108221,0.00018135619029635563,0.004930108319967985,0.002322593005374074,0.00015755520144011825,0.004330075811594725
75,0.0025955974124372005,0.00017924590065376833,0.004832702921703458,0.0022489316761493683,0.00015503496979363263,0.004187793470919132
76,0.0025479397154413164,0.00017811579527915455,0.004739647847600281,0.002267209580168128,0.00015447860641870648,0.00422546174377203
77,0.0026975992368534207,0.0001850780245149508,0.00502504245378077,0.002230907790362835,0.00015210868150461465,0.004157598130404949
78,0.00281578948488459,0.00018954607367049903,0.005252486793324351,0.0028524035587906837,0.00018625849043019116,0.005332290194928646
79,0.002924023719970137,0.00019758581038331613,0.005452875862829387,0.0021761972457170486,0.00015044008614495397,0.004051514435559511
80,0.002688823558855802,0.00018610427650855854,0.005005438579246402,0.002114171627908945,0.0001471136638429016,0.00393411610275507
