epoch,train_total,train_prediction,train_variance,train_covariance,validation_total,validation_prediction,validation_variance,validation_covariance
1,0.10400004032999277,0.007245193759445101,0.9675470106303692,1.4582130006601801e-05,0.10021588951349258,0.004380583763122559,0.9583494663238525,3.59291625500191e-05
2,0.09793526725843549,0.0030190913093974814,0.9491539411246777,7.813038291715202e-05,0.09611371904611588,0.0026651928201317787,0.934468150138855,0.0001715848920866847
3,0.09531587455421686,0.003121200148598291,0.9219113923609257,0.00035344182106200606,0.09425035864114761,0.0038631579373031855,0.9037976861000061,0.0007436142768710852
4,0.09354270389303565,0.004773130815010518,0.8875159434974194,0.0017977697716560215,0.09260999411344528,0.005990857258439064,0.8658199310302734,0.0037144285161048174
5,0.09190488886088133,0.00582753392518498,0.8603274077177048,0.004461325748707168,0.0908266082406044,0.005554188508540392,0.8522077798843384,0.005163643974810839
6,0.08998624235391617,0.005379151465604082,0.8454360589385033,0.00634847886976786,0.08875501155853271,0.005343818571418524,0.8332973718643188,0.008145423606038094
7,0.08788624964654446,0.005225584522122517,0.825635515153408,0.00971120418398641,0.08671201765537262,0.005104642827063799,0.8149538040161133,0.011198836378753185
8,0.08593562757596374,0.005075732275145128,0.80730265006423,0.012962911103386432,0.0849006175994873,0.004998018499463797,0.7975507378578186,0.014752247370779514
9,0.0842365063726902,0.004848617798415944,0.7922415547072887,0.0163732974906452,0.08332865685224533,0.004832908511161804,0.7830880880355835,0.018693406134843826
10,0.08275020867586136,0.004771111678564921,0.7777477465569973,0.02043204929213971,0.08192465454339981,0.004695734940469265,0.7699801921844482,0.023089909926056862
11,0.08141895104199648,0.004598403436830267,0.765709787607193,0.024956695269793272,0.08066030591726303,0.0048274090513587,0.7554606795310974,0.028682414442300797
12,0.08024724666029215,0.004576296894811094,0.7537077851593494,0.03001694625709206,0.07953903079032898,0.004655748605728149,0.7454586029052734,0.03374245762825012
13,0.07914046291261911,0.004486634075874463,0.7430047132074833,0.0353355270344764,0.07851614058017731,0.004464657045900822,0.7366865873336792,0.03828258067369461
14,0.07817958947271109,0.004478048533201218,0.7328932732343674,0.04122112528420985,0.07758377492427826,0.00439617782831192,0.7275046110153198,0.04371356964111328
15,0.07736253552138805,0.0043263984844088554,0.725819792598486,0.04541581287048757,0.0768006294965744,0.00458294153213501,0.7171328663825989,0.050439875572919846
16,0.0765429800376296,0.004390770380268805,0.7163109593093395,0.05211111484095454,0.07603634893894196,0.004298979416489601,0.7119271755218506,0.05446548014879227
17,0.0758461537770927,0.004358022837550379,0.7090636789798737,0.05817624321207404,0.0753919705748558,0.004033547360450029,0.7077779769897461,0.05806215852499008
18,0.07522327546030283,0.004160309705184773,0.704409085214138,0.06220564479008317,0.07480549067258835,0.004192088730633259,0.6996454000473022,0.06488553434610367
19,0.07463483512401581,0.004171355365542695,0.697866290807724,0.06768474774435163,0.07426685839891434,0.004387730732560158,0.6915448904037476,0.07246340066194534
20,0.07412206940352917,0.004234031424857676,0.6915794275701046,0.0730094825848937,0.07381195574998856,0.004254661034792662,0.6880091428756714,0.0756373405456543
21,0.07367673702538013,0.004129430075408891,0.6877192407846451,0.07753814710304141,0.07337018847465515,0.004188711754977703,0.6837736368179321,0.0804109126329422
22,0.07330475794151425,0.004091996117495,0.6838921718299389,0.0823544985614717,0.07302350550889969,0.004144687205553055,0.6803567409515381,0.08431441336870193
23,0.07297693053260446,0.004136690637096763,0.6798254810273647,0.08576900325715542,0.07271789014339447,0.003690877929329872,0.6820644736289978,0.08205637335777283
24,0.0726507087238133,0.00405360090371687,0.6770340390503407,0.08937016781419516,0.07242118567228317,0.003892689011991024,0.6764141917228699,0.08870704472064972
25,0.0723992520943284,0.004028140348964371,0.6744258441030979,0.09285266231745481,0.0721798837184906,0.003985910210758448,0.6727326512336731,0.09207034111022949
26,0.07214298751205206,0.003946650613215752,0.6724795512855053,0.09483807999640703,0.07194863259792328,0.004082714673131704,0.6687859296798706,0.09873177111148834
27,0.0719912750646472,0.00392855420068372,0.6707704998552799,0.09856690606102347,0.07178761810064316,0.004031014628708363,0.6675581932067871,0.10007744282484055
28,0.07178721530362964,0.003977367596235126,0.6679315455257893,0.10166893433779478,0.07160422950983047,0.00370190292596817,0.6691641807556152,0.0985908955335617
29,0.07159035513177514,0.003987610514741391,0.665703009814024,0.10324417753145099,0.07150744646787643,0.0038120029494166374,0.6667760014533997,0.10178470611572266
30,0.07146960450336337,0.0039036027010297403,0.6651728935539722,0.10487101785838604,0.07135423272848129,0.0041448031552135944,0.6611344814300537,0.10959793627262115
31,0.07136641815304756,0.0038772145489929244,0.664182037115097,0.10709972493350506,0.07124009728431702,0.004030414391309023,0.6611615419387817,0.10935313254594803
32,0.07121878722682595,0.003873693785862997,0.6624587662518024,0.10992138227447867,0.07111471891403198,0.003929044585675001,0.6609564423561096,0.10900355875492096
33,0.07114303996786475,0.0039047469035722315,0.6613248400390148,0.11058077029883862,0.07102746516466141,0.0038070143200457096,0.6612168550491333,0.10987614095211029
34,0.0710343811661005,0.003908184356987476,0.6600231751799583,0.11238783271983266,0.07095398753881454,0.004069228656589985,0.6572958827018738,0.11551657319068909
35,0.0709860255010426,0.003911386243999004,0.6592983156442642,0.11448057694360614,0.0708920955657959,0.00390063738450408,0.6586121916770935,0.11302366107702255
36,0.07098198775202036,0.003826448490144685,0.660245556384325,0.11309829028323293,0.0708579272031784,0.004183686804026365,0.6549665927886963,0.11775772273540497
37,0.0708476323634386,0.003828150423942134,0.6586320772767067,0.11562739871442318,0.07075975835323334,0.004146073944866657,0.6540806293487549,0.12056154757738113
38,0.07077632797881961,0.0038411834684666246,0.6576320007443428,0.11719423998147249,0.070732980966568,0.004012247081845999,0.6553153395652771,0.11891956627368927
39,0.07076634606346488,0.003895977744832635,0.6568484120070934,0.118552734144032,0.07066027075052261,0.00372653198428452,0.6578850746154785,0.1145225465297699
40,0.07072788802906871,0.0037913678243057802,0.6575752981007099,0.11789882089942694,0.07062720507383347,0.0037113672588020563,0.6576205492019653,0.11537791043519974
41,0.07068128185346723,0.003806064501986839,0.6568491570651531,0.11903007607907057,0.07058396935462952,0.003940979018807411,0.6543789505958557,0.12050949037075043
42,0.07065233262255788,0.0037987433170201257,0.656542431563139,0.11993441870436072,0.07058107852935791,0.003804905340075493,0.6558324098587036,0.11929268389940262
43,0.07060176925733685,0.0038589142641285434,0.6553148254752159,0.12113699270412326,0.07056143134832382,0.003593658795580268,0.6581482887268066,0.11529400944709778
44,0.07063995348289609,0.0038184617151273414,0.6560954488813877,0.12119447765871882,0.07053419947624207,0.0037835820112377405,0.6555171012878418,0.11989057064056396
45,0.07060172501951456,0.0037457046564668417,0.6565338112413883,0.1202636775560677,0.07049298286437988,0.003925077151507139,0.6531952619552612,0.12483756989240646
46,0.07052595261484385,0.003832049173070118,0.6547210663557053,0.12217954453080893,0.07045283168554306,0.003831183537840843,0.6540658473968506,0.12150612473487854
47,0.070527208968997,0.003841552883386612,0.6546027697622776,0.12253799103200436,0.07043356448411942,0.00381729518994689,0.6541258692741394,0.12036760151386261
48,0.0705263214185834,0.0037536609888775274,0.6555163078010082,0.12210288411006331,0.07042039185762405,0.0038468989077955484,0.6536240577697754,0.12110843509435654
49,0.07054815534502268,0.0038269725628197193,0.6550002060830593,0.1221161033026874,0.07039722055196762,0.0037925096694380045,0.6538625359535217,0.12184524536132812
50,0.07049837289378047,0.003809720423305407,0.6545864716172218,0.1230003465898335,0.07041355222463608,0.0035961507819592953,0.656327486038208,0.11846478283405304
51,0.07041153544560075,0.0038093692564871162,0.6535756401717663,0.12446015560999513,0.07038266956806183,0.003971125464886427,0.6516211032867432,0.12494342029094696
52,0.07039816956967115,0.003785725639318116,0.6536560729146004,0.12468350119888783,0.07034018635749817,0.00385017110966146,0.6525634527206421,0.12336656451225281
53,0.0704389032907784,0.0037657186621800065,0.6544252671301365,0.12306566908955574,0.07034887373447418,0.003598626237362623,0.6556307077407837,0.11871721595525742
54,0.0704329120926559,0.003772023948840797,0.6542940698564053,0.12314808927476406,0.07033393532037735,0.0038272824604064226,0.6525630354881287,0.12503468990325928
55,0.0704170549288392,0.0038266273913905025,0.653416708111763,0.12487545982003212,0.07031361758708954,0.00347517104819417,0.656463623046875,0.11920782923698425
56,0.07038169400766492,0.0036981137527618557,0.6543516181409359,0.12484158808365464,0.07028275728225708,0.003995819017291069,0.6501024961471558,0.12766852974891663
57,0.07038294151425362,0.003764297580346465,0.6537737175822258,0.1241270829923451,0.07025710493326187,0.0038036492187529802,0.6520989537239075,0.12435638904571533
58,0.0703204064629972,0.003779986087465659,0.6529443524777889,0.12459855061024427,0.07025918364524841,0.003819145495072007,0.6519571542739868,0.12443248927593231
59,0.07033321494236588,0.0038107289728941396,0.6526397466659546,0.1258510840125382,0.07023400813341141,0.0036957927513867617,0.6530683040618896,0.12313763797283173
60,0.07027454813942313,0.0037565341481240466,0.6525130718946457,0.1266705528832972,0.07024946808815002,0.0037758462131023407,0.6523782014846802,0.12357990443706512
