epoch,train_total,train_token_ce,train_action_entropy,train_balance,validation_total,validation_token_ce,validation_action_entropy,validation_balance
1,2.1159953355789183,2.214113396406174,1.3387011528015136,-1.3827911078929902,1.445492148399353,1.5585798025131226,1.4984486103057861,-1.5804113149642944
2,1.2452848613262177,1.3622076153755187,1.425644189119339,-1.5969206869602204,1.130875825881958,1.2539372444152832,1.2248003482818604,-1.5980541706085205
3,1.043175008893013,1.175615918636322,0.9206191271543502,-1.6005946934223174,1.002455711364746,1.1454018354415894,0.5814539790153503,-1.603898048400879
4,0.9451871365308762,1.0921412348747253,0.4038406893610954,-1.5906930267810822,0.9329472184181213,1.0835258960723877,0.28433865308761597,-1.5910879373550415
5,0.8876304119825363,1.0377506107091903,0.25390083342790604,-1.577372270822525,0.8885154128074646,1.0400331020355225,0.24504446983337402,-1.5886898040771484
6,0.8480819970369339,0.9981608122587204,0.21555185467004775,-1.565453690290451,0.8513047695159912,1.0011839866638184,0.21668238937854767,-1.5637966394424438
7,0.8147298067808151,0.9647776365280152,0.19728846177458764,-1.5596647083759307,0.8305686712265015,0.9834593534469604,0.19052526354789734,-1.5860642194747925
8,0.7874231934547424,0.9377018839120865,0.18028884530067443,-1.5568735361099244,0.7923499941825867,0.9434232115745544,0.18552283942699432,-1.5663893222808838
9,0.7502118289470673,0.9017093867063523,0.1596962284296751,-1.5628844261169434,0.7690454721450806,0.9217166900634766,0.1598988026380539,-1.5746822357177734
10,0.721766009926796,0.8734143972396851,0.14967854805290698,-1.5613874614238739,0.7394896745681763,0.8836787939071655,0.22182509303092957,-1.5084384679794312
11,0.6947307407855987,0.8459069997072219,0.15845119394361973,-1.5592979907989502,0.714043915271759,0.8660351634025574,0.15051911771297455,-1.565068244934082
12,0.6615675181150437,0.8124537467956543,0.13238819278776645,-1.5485787272453309,0.695192277431488,0.8455891609191895,0.17060929536819458,-1.555151343345642
13,0.6301797807216645,0.7805277377367019,0.13848673589527608,-1.5450255155563355,0.6677312254905701,0.8180960416793823,0.16837874054908752,-1.554161787033081
14,0.6086704343557358,0.7591323703527451,0.12991921938955783,-1.5435951054096222,0.630873441696167,0.7844279408454895,0.11761201918125153,-1.5708284378051758
15,0.5795573920011521,0.7308867245912551,0.11004141308367252,-1.5463056147098542,0.6153531074523926,0.7681878805160522,0.11063699424266815,-1.561538815498352
16,0.5672190845012665,0.7193918585777282,0.1214916467666626,-1.5581752598285674,0.5962110161781311,0.7502884864807129,0.12092671543359756,-1.577052354812622
17,0.5416859224438667,0.6939651072025299,0.10447143539786338,-1.5541332960128784,0.6048902273178101,0.756665825843811,0.12164292484521866,-1.554248571395874
18,0.5153267547488213,0.6676385223865509,0.10730275474488735,-1.5553083717823029,0.5601769685745239,0.7154961228370667,0.1117144376039505,-1.5867059230804443
19,0.49517117589712145,0.648320671916008,0.10330914445221424,-1.5624875724315643,0.5444237589836121,0.6997605562210083,0.11077214777469635,-1.5865994691848755
20,0.4753294333815575,0.6283483862876892,0.10064808819442987,-1.5603838741779328,0.5403577089309692,0.6929851174354553,0.12570105493068695,-1.5639841556549072
21,0.46996149122715,0.6205166757106781,0.12512860856950284,-1.5430903434753418,0.4990525245666504,0.654413640499115,0.10418067872524261,-1.5848655700683594
22,0.44609038680791857,0.5998760461807251,0.11736539229750634,-1.5730661511421205,0.4991596043109894,0.6539934873580933,0.1115427017211914,-1.581801414489746
23,0.4301370829343796,0.5824916809797287,0.12136051766574382,-1.5599540591239929,0.49912989139556885,0.6543260216712952,0.14750438928604126,-1.596212387084961
24,0.412720137834549,0.5656934052705764,0.14585297852754592,-1.5734884977340697,0.5031973719596863,0.6543368697166443,0.17067542672157288,-1.5625977516174316
25,0.3986319288611412,0.5506842494010925,0.14070965610444547,-1.562736064195633,0.4726492166519165,0.6254679560661316,0.15070125460624695,-1.5733973979949951
26,0.3893494322896004,0.542926236987114,0.12362870536744594,-1.5728566646575928,0.4691026210784912,0.6231966614723206,0.13143254816532135,-1.5803699493408203
27,0.3756591185927391,0.5289850279688835,0.11579037681221963,-1.567996197938919,0.45103007555007935,0.6055424213409424,0.12158913910388947,-1.5816004276275635
28,0.3615857496857643,0.5160370960831642,0.09930193237960339,-1.5743040561676025,0.43217432498931885,0.5881600975990295,0.10159164667129517,-1.590335488319397
29,0.35676580369472505,0.5102962285280228,0.10498096570372581,-1.5667985141277314,0.4414404630661011,0.5948052406311035,0.12282086908817291,-1.5704939365386963
30,0.3515504255890846,0.5056524857878685,0.10191329568624496,-1.571594500541687,0.43238717317581177,0.5828303098678589,0.15633268654346466,-1.5513310432434082
31,0.34770183116197584,0.49985178709030154,0.11840258575975895,-1.557020252943039,0.4139379858970642,0.5687280297279358,0.1184312254190445,-1.5834296941757202
32,0.3266728565096855,0.48137548714876177,0.09313122034072877,-1.5749656319618226,0.3990802466869354,0.5539821982383728,0.12098708003759384,-1.5853157043457031
33,0.3219524934887886,0.4747688487172127,0.10680392310023308,-1.5602047204971314,0.3814363479614258,0.5372065901756287,0.10120110213756561,-1.5880625247955322
34,0.3008980192244053,0.4553579330444336,0.0799028754234314,-1.568569928407669,0.41906577348709106,0.5712679028511047,0.11849148571491241,-1.5575686693191528
35,0.29106002673506737,0.44493661671876905,0.0868626058101654,-1.564824640750885,0.38789069652557373,0.5434909462928772,0.098546102643013,-1.5855664014816284
36,0.31016022711992264,0.46372760385274886,0.08935136497020721,-1.5624791145324708,0.3763812184333801,0.5303733944892883,0.10295544564723969,-1.5708084106445312
37,0.2854894928634167,0.43958633840084077,0.08366724587976933,-1.5660686790943146,0.3768590986728668,0.5304806232452393,0.10372009128332138,-1.5673311948776245
38,0.28622290790081023,0.44004932045936584,0.09247468095272779,-1.5660064935684204,0.37489640712738037,0.5303505063056946,0.07966558635234833,-1.5784404277801514
39,0.28116445019841196,0.43531416207551954,0.0702176095917821,-1.5625624418258668,0.4002578556537628,0.5516519546508789,0.11409654468297958,-1.5481700897216797
