epoch,train_total,train_token_ce,train_action_entropy,train_balance,validation_total,validation_token_ce,validation_action_entropy,validation_balance
40,0.2734851725399494,0.42759741097688675,0.0845438128337264,-1.5664855182170867,0.3588533401489258,0.5120991468429565,0.09991171956062317,-1.5624314546585083
41,0.25853442028164864,0.41297457814216615,0.07394577730447054,-1.5665853083133698,0.3450479507446289,0.4997240900993347,0.08619226515293121,-1.5726191997528076
42,0.2605484627187252,0.41447671353816984,0.07917001470923424,-1.5630334734916687,0.3634304106235504,0.5191414952278137,0.084006167948246,-1.582312822341919
43,0.254555731266737,0.4096484944224358,0.08117299359291792,-1.575279462337494,0.34698644280433655,0.5025753974914551,0.08724160492420197,-1.5820618867874146
44,0.23672473803162575,0.3902203366160393,0.08104279041290283,-1.559268844127655,0.3581910729408264,0.5127490162849426,0.08568079769611359,-1.5712839365005493
45,0.2395635150372982,0.39367858320474625,0.08728557135909795,-1.5673363208770752,0.3518033027648926,0.5070814490318298,0.10221710056066513,-1.5834466218948364
46,0.24010952413082123,0.39372561126947403,0.08683553896844387,-1.5622115314006806,0.34214964509010315,0.49687281250953674,0.0867062583565712,-1.5732433795928955
47,0.227792888879776,0.38200936615467074,0.07707134708762169,-1.5652861177921296,0.32510989904403687,0.47996047139167786,0.0722789540886879,-1.5701894760131836
48,0.21975675746798515,0.37408594191074374,0.08086110055446624,-1.5675501704216004,0.32047075033187866,0.47595322132110596,0.08093315362930298,-1.5791047811508179
49,0.22102702260017396,0.37513493448495866,0.08860989697277546,-1.5676620244979858,0.3258032202720642,0.4813086986541748,0.08467832952737808,-1.580458402633667
50,0.22070851996541024,0.37556003630161283,0.08762729354202747,-1.5748033046722412,0.3349483013153076,0.4906069040298462,0.07852707803249359,-1.5801441669464111
