epoch,train_reconstruction,validation_reconstruction
1,0.2519032880663872,0.20632599294185638
2,0.1609430325527986,0.10745665431022644
3,0.07408053676287334,0.047656863927841187
4,0.041748257043461,0.03891949728131294
5,0.038472529500722885,0.03834256902337074
6,0.03799077526976665,0.03786780685186386
7,0.037672895627717175,0.037759944796562195
8,0.03762371838092804,0.03771909698843956
9,0.03758248252173265,0.03768910467624664
10,0.03757384419441223,0.037667080760002136
11,0.03754324124505123,0.03764287754893303
12,0.03753231496860584,0.03765024244785309
13,0.037511306504408516,0.03763943165540695
14,0.03750158194452524,0.03761071339249611
15,0.03748636071880659,0.03759901225566864
16,0.03747340260694424,0.03757963329553604
17,0.037459020813306175,0.03757467493414879
18,0.03745650562147299,0.03754926100373268
19,0.03744386198620001,0.03752144053578377
20,0.03742519052078327,0.03752777725458145
21,0.03742700753112634,0.037515316158533096
22,0.03741659037768841,0.03750646114349365
23,0.037408048287034035,0.03749318793416023
24,0.03740595063815514,0.037498801946640015
25,0.03739545742670695,0.03748941794037819
26,0.037394401306907334,0.03748156875371933
27,0.037389424008627735,0.037481341511011124
28,0.0373838326583306,0.03746752068400383
29,0.03737828694283962,0.03747197985649109
30,0.03737956906358401,0.037448544055223465
31,0.037365999383231006,0.03746809437870979
32,0.03737160563468933,0.037461280822753906
33,0.037362840957939625,0.0374629981815815
34,0.037357669634123646,0.03744707629084587
35,0.03735089643547932,0.03744575008749962
36,0.03735101129859686,0.037433069199323654
37,0.03734247852116823,0.03744768351316452
38,0.037341397566099964,0.037435516715049744
39,0.03733963519334793,0.03741679713129997
40,0.03733682446181774,0.037418246269226074
41,0.03733392463376125,0.03741462528705597
42,0.03732883743941784,0.03741033002734184
43,0.03732565666238467,0.03740876913070679
44,0.03732026213159164,0.037400517612695694
45,0.037307931731144585,0.037400297820568085
46,0.037314219710727535,0.037386003881692886
47,0.0373024670407176,0.03740080073475838
48,0.037299354250232376,0.03738390654325485
49,0.03728973958641291,0.03737102821469307
50,0.03728730417788029,0.03736919164657593
51,0.03727271780371666,0.037348732352256775
52,0.03727101224164168,0.03734203055500984
53,0.03725800570100546,0.03733660280704498
54,0.03724392720808586,0.03732685744762421
55,0.03722649874786536,0.03731652721762657
56,0.03721898918350538,0.03729564696550369
57,0.03720398309330145,0.03728252649307251
58,0.0371829162662228,0.03725973889231682
59,0.03716060612350702,0.03722759708762169
60,0.037129334484537445,0.037182796746492386
61,0.03708372606585423,0.037144534289836884
62,0.037040563921133675,0.03710074722766876
63,0.03698364303757747,0.03702012076973915
64,0.03691716957837343,0.03695734962821007
65,0.03683791309595108,0.03687313571572304
66,0.036759866711994015,0.03676815330982208
67,0.036683838814496994,0.03670233115553856
68,0.03659451442460219,0.03661522641777992
69,0.03650513974328836,0.03651179373264313
70,0.03641147570063671,0.03639485314488411
71,0.03630649298429489,0.03629332780838013
72,0.036196086555719376,0.03617874160408974
73,0.036071594494084515,0.03603805974125862
74,0.03594158558795849,0.03588734567165375
75,0.03579975043733915,0.035741791129112244
76,0.03564972368379434,0.035581737756729126
77,0.03548784957577785,0.03541572391986847
78,0.035319842398166656,0.035245783627033234
79,0.03513100619117419,0.03504033386707306
80,0.034934148813287415,0.03483803942799568
