epoch,train_total,train_reconstruction,train_prediction_image,train_latent_prediction,train_goal_classification,val_total,val_reconstruction,val_prediction_image,val_latent_prediction,val_goal_classification
1,1.7949207127094269,0.7404463142156601,0.7537229210138321,0.20889171585440636,1.9630564153194427,0.6693360805511475,0.2250238060951233,0.22221699357032776,0.15037734806537628,1.4690662622451782
2,0.3620617352426052,0.10593750048428774,0.09870630875229836,0.12535611912608147,0.9473986402153969,0.19240152835845947,0.05493788793683052,0.06347464770078659,0.08297895640134811,0.3249950706958771
3,0.21616749837994576,0.07335813343524933,0.0676879109814763,0.1039587240666151,0.2314208783209324,0.18469710648059845,0.07757174223661423,0.04259981960058212,0.09988915920257568,0.1458096206188202
4,0.15756240859627724,0.07396617904305458,0.037759579718112946,0.06895110663026571,0.11361091397702694,0.0993446484208107,0.05056789889931679,0.02477964013814926,0.03625398501753807,0.05870109796524048
5,0.09671231172978878,0.04761814046651125,0.02907095616683364,0.032569670118391514,0.037383805960416794,0.07659068703651428,0.03999946266412735,0.022774087265133858,0.02493988908827305,0.01347193494439125
6,0.08253681845963001,0.04516614507883787,0.026201467029750347,0.02068518241867423,0.00826612685341388,0.061310552060604095,0.036170072853565216,0.016995282843708992,0.01569303125143051,0.002986829960718751
7,0.062203336507081985,0.03516747849062085,0.020749897696077824,0.01216431544162333,0.0020380266942083836,0.04491513967514038,0.026465294882655144,0.014950212091207504,0.006782045122236013,0.0010861092014238238
8,0.05478931684046984,0.03115722443908453,0.02031035255640745,0.006467275903560221,0.0008810049912426621,0.04690602049231529,0.028124522417783737,0.015846682712435722,0.005745211616158485,0.0006221330841071904
9,0.055098891258239746,0.03209413727745414,0.02039586054161191,0.005105727701447904,0.0005603059398708865,0.04268088936805725,0.026065276935696602,0.014569904655218124,0.0039878590032458305,0.0005177754792384803
10,0.04953852575272322,0.02910162741318345,0.018886706326156855,0.0029976595542393625,0.0005136325635248795,0.03806089982390404,0.023952411487698555,0.013230210170149803,0.001665762742049992,0.000453967455541715
11,0.04707798454910517,0.02814393537119031,0.01785385492257774,0.002081602200632915,0.00039393192128045484,0.03832557797431946,0.024240149185061455,0.01281554251909256,0.0024773564655333757,0.00031205234699882567
12,0.046644238755106926,0.028066215105354786,0.01756839081645012,0.0019619792292360216,0.00028642114921240136,0.03670559823513031,0.023534348234534264,0.012635454535484314,0.0010223939316347241,0.00024597669835202396
13,0.04538825061172247,0.027592800557613373,0.01737336255609989,0.000797983753727749,0.00023096420773072168,0.03641181439161301,0.023535313084721565,0.012488513253629208,0.0007325311307795346,0.00021722663950640708
14,0.0452795559540391,0.027582244481891394,0.017264140071347356,0.0008224663761211559,0.00021937719066045247,0.03600906953215599,0.02328880876302719,0.012349813245236874,0.0006981110200285912,0.00021389940229710191
15,0.044594706036150455,0.027267323341220617,0.017017298378050327,0.0005778085396741517,0.00021180672410991974,0.03551064059138298,0.023110736161470413,0.012204505503177643,0.0003482256142888218,0.00021286025003064424
16,0.04435323644429445,0.02718818513676524,0.01696830033324659,0.00035086075513390824,0.0002132123918272555,0.035500917583703995,0.023123089224100113,0.012151048518717289,0.0004130799788981676,0.00020238816796336323
17,0.044293452985584736,0.027156276628375053,0.016923977294936776,0.00038749132363591343,0.00019452967535471544,0.03522271662950516,0.02300708368420601,0.012066159397363663,0.00026183747104369104,0.00018555810675024986
18,0.04412657581269741,0.027115638833492994,0.016880765557289124,0.00022341405201586895,0.00018464868844603188,0.03511587902903557,0.022986141964793205,0.012017393484711647,0.0001887919643195346,0.00017947210290003568
19,0.044074647128582,0.027119029313325882,0.016835040180012584,0.00020505593056441285,0.00018049449136015028,0.03510268032550812,0.022976307198405266,0.012024572119116783,0.00016684980073478073,0.00018377775268163532
20,0.044007557444274426,0.027087047696113586,0.016833066940307617,0.0001379002587782452,0.0001849278705776669,0.03507477790117264,0.02298186533153057,0.012002400122582912,0.00014478313096333295,0.00018124871712643653
21,0.043973990716040134,0.027084065601229668,0.016797749092802405,0.00014803929298068397,0.0001815763462218456,0.0351165309548378,0.023004457354545593,0.01202730368822813,0.00013334221148397774,0.00018095823179464787
22,0.04398367274552584,0.02708822302520275,0.01681500975973904,0.0001252753172593657,0.00017802694128477015,0.03504887968301773,0.02296987548470497,0.012006314471364021,0.00011085163714597002,0.0001726187765598297
23,0.04393020644783974,0.02706014458090067,0.016799409175291657,0.00010672210191842169,0.0001729125579004176,0.035054195672273636,0.022959645837545395,0.012021047063171864,0.00011280382750555873,0.00017101096455007792
24,0.043945737183094025,0.027050744742155075,0.016820181161165237,0.00011537045065779239,0.00017128208492067643,0.03503014147281647,0.022932900115847588,0.012034215033054352,9.126813529292122e-05,0.00017387895786669105
25,0.04394490551203489,0.02705193916335702,0.0168265076354146,9.805395529838279e-05,0.00017432280219509266,0.035073209553956985,0.02296602539718151,0.012016873806715012,0.00014686514623463154,0.00016879728354979306
26,0.043943051248788834,0.027044221758842468,0.01681762025691569,0.00012853766565967817,0.00016940098066697828,0.03508663550019264,0.022936757653951645,0.012077582068741322,0.00011046300642192364,0.00017066457075998187
27,0.04393560905009508,0.02704738173633814,0.016813090536743402,0.00011684613491524942,0.0001671374666329939,0.03503643348813057,0.02295406349003315,0.011988376267254353,0.0001555574854137376,0.0001621301198611036
28,0.04395039472728968,0.02705781441181898,0.016820753924548626,0.00011037278636649717,0.00016639175737509504,0.03501752018928528,0.022958751767873764,0.01199364848434925,9.715134365251288e-05,0.00016545872495044023
29,0.043912775814533234,0.027052908670157194,0.01678907871246338,0.00010863964052987285,0.0001646830678510014,0.03501960262656212,0.022946584969758987,0.012011012993752956,9.093198605114594e-05,0.00016536311886738986
30,0.04390006419271231,0.027042490895837545,0.016794688533991575,9.296073221776169e-05,0.0001640399350435473,0.034978147596120834,0.022927137091755867,0.011978041380643845,0.00011401774827390909,0.00015958242875058204
31,0.043906088918447495,0.027041448280215263,0.016799964010715485,9.718665933178272e-05,0.00016084199160104617,0.03499343618750572,0.02294142171740532,0.011985600925981998,0.00010097542690346017,0.0001592434709891677
32,0.043902463279664516,0.027045273687690496,0.01679195580072701,9.854423296928871e-05,0.0001596067777427379,0.035010188817977905,0.02294435165822506,0.012006082572042942,8.755598537391052e-05,0.0001597587252035737
33,0.043921795673668385,0.027062692679464817,0.016793201910331845,0.00010013692735810764,0.00015832734789000824,0.03503153845667839,0.02296091429889202,0.011984214186668396,0.00014189411012921482,0.00015458512643817812
34,0.04390757158398628,0.027053233236074448,0.01678209169767797,0.00011294644900772255,0.00015774024723214097,0.034985244274139404,0.022943057119846344,0.011981544084846973,8.999594138003886e-05,0.0001564487029099837
35,0.04390179365873337,0.027060650289058685,0.01676869369111955,0.00011412958883738611,0.00015384668222395703,0.03497706353664398,0.022951385006308556,0.011961368843913078,9.798690007301047e-05,0.00015313121548388153
36,0.04389998596161604,0.027053223457187414,0.01678106840699911,0.00010047892646980472,0.0001545492632430978,0.035016853362321854,0.02294720523059368,0.011981171555817127,0.00014697918959427625,0.00014986835594754666
37,0.043917679227888584,0.027045859955251217,0.016798548633232713,0.00011614201685006265,0.00015198091205093078,0.035044968128204346,0.022926177829504013,0.012052922509610653,0.0001010671621770598,0.0001533360918983817
38,0.04390706028789282,0.027037340216338634,0.016796309500932693,0.00011686870857374743,0.00014975073281675577,0.03500140458345413,0.022955061867833138,0.011976983398199081,0.00010914881568169221,0.00014780237688682973
39,0.043885206803679466,0.027044644579291344,0.016776828560978174,9.75209113676101e-05,0.00014971736527513713,0.03499237820506096,0.022952353581786156,0.011974606662988663,0.00010137637582374737,0.00014730078692082316
40,0.04390730895102024,0.027057786472141743,0.01678247028030455,0.00010463621038070414,0.00014735494551132433,0.035018302500247955,0.02296563796699047,0.011990913189947605,9.412725921720266e-05,0.00014686000940855592
