update,actor_loss,critic_loss,imagined_reward_mean,imagined_return_mean,action_entropy
1,3.1494805812835693,19.95006561279297,-0.6663902401924133,-3.1523659229278564,2.8854379653930664
2,3.3645918369293213,21.892770767211914,-0.7151604294776917,-3.3674802780151367,2.888333559036255
3,3.152296304702759,20.96063804626465,-0.669951856136322,-3.155189275741577,2.892930746078491
4,3.299691677093506,21.2277889251709,-0.7031097412109375,-3.302586793899536,2.8952085971832275
5,3.2683966159820557,19.46851921081543,-0.6865366101264954,-3.2712953090667725,2.898754835128784
6,3.4514150619506836,21.146615982055664,-0.7301356196403503,-3.4543187618255615,2.903756856918335
7,3.328486442565918,21.114025115966797,-0.7044100761413574,-3.331393003463745,2.9065663814544678
8,3.2295494079589844,20.82220458984375,-0.6899030804634094,-3.2324588298797607,2.9093875885009766
9,3.1745965480804443,19.820730209350586,-0.6769782900810242,-3.1775095462799072,2.912938356399536
10,3.1063151359558105,19.66585350036621,-0.6645252108573914,-3.1092309951782227,2.915820360183716
11,3.3656492233276367,20.84889793395996,-0.7088465690612793,-3.3685691356658936,2.9199469089508057
12,3.175887107849121,18.59351921081543,-0.6692571640014648,-3.178809404373169,2.922351598739624
13,3.2867610454559326,19.533769607543945,-0.691153347492218,-3.289685010910034,2.9239485263824463
14,3.2343828678131104,19.76728630065918,-0.6873553395271301,-3.237309455871582,2.9265754222869873
15,3.4451680183410645,20.112991333007812,-0.7272717356681824,-3.4480972290039062,2.9291999340057373
16,3.1579792499542236,19.1455135345459,-0.6686546206474304,-3.1609103679656982,2.9311084747314453
17,3.302708148956299,18.824146270751953,-0.697167694568634,-3.3056418895721436,2.9336917400360107
18,3.3994603157043457,21.68072509765625,-0.7240571975708008,-3.402395486831665,2.935260772705078
19,3.1957621574401855,18.304018020629883,-0.6742088794708252,-3.198699712753296,2.937494993209839
20,3.2022314071655273,20.019441604614258,-0.681877613067627,-3.2051703929901123,2.9389374256134033
21,3.101313591003418,17.754457473754883,-0.6582726836204529,-3.104253053665161,2.9395244121551514
22,2.7009479999542236,16.389772415161133,-0.5782632231712341,-2.7038886547088623,2.9407482147216797
23,3.1069257259368896,18.406044006347656,-0.6591128706932068,-3.109867811203003,2.942138910293579
24,3.520843505859375,20.16238784790039,-0.7378132343292236,-3.5237865447998047,2.943065881729126
25,3.2987217903137207,18.839693069458008,-0.6963719725608826,-3.3016655445098877,2.9438343048095703
26,3.1570420265197754,17.440088272094727,-0.6614552140235901,-3.159985303878784,2.9433670043945312
27,3.293419361114502,18.670228958129883,-0.6941798329353333,-3.296363115310669,2.943696975708008
28,3.527721881866455,21.04269790649414,-0.7453019022941589,-3.530667543411255,2.9455928802490234
29,3.106842041015625,17.774934768676758,-0.6533644795417786,-3.10978627204895,2.9443447589874268
30,2.847052812576294,15.044222831726074,-0.6016841530799866,-2.8499972820281982,2.9445457458496094
31,3.55734920501709,20.397104263305664,-0.7470865845680237,-3.5602939128875732,2.9445912837982178
32,3.0673739910125732,16.37669563293457,-0.6452569961547852,-3.070317268371582,2.9431686401367188
33,3.2667243480682373,18.537992477416992,-0.686231791973114,-3.269667625427246,2.9432640075683594
34,3.1081137657165527,16.9854736328125,-0.6530813574790955,-3.111056327819824,2.942577600479126
35,3.3234446048736572,18.233732223510742,-0.6926648020744324,-3.3263871669769287,2.9424962997436523
36,3.101598024368286,16.453187942504883,-0.6466636061668396,-3.104539155960083,2.941181182861328
37,3.1067183017730713,17.99485206604004,-0.6479727625846863,-3.1096572875976562,2.9390933513641357
38,2.807671546936035,15.637158393859863,-0.594968855381012,-2.810610055923462,2.9384448528289795
39,3.435110569000244,17.6549129486084,-0.7150227427482605,-3.438049554824829,2.9390926361083984
40,3.041977882385254,15.682147026062012,-0.6331132054328918,-3.044914484024048,2.9367122650146484
41,2.8891212940216064,15.49583911895752,-0.6078991293907166,-2.8920562267303467,2.9349911212921143
42,3.169703245162964,16.44153594970703,-0.6644847393035889,-3.1726367473602295,2.9334843158721924
43,3.231114149093628,16.509370803833008,-0.6727216243743896,-3.234046220779419,2.93206524848938
44,3.1329431533813477,16.6861629486084,-0.6567838788032532,-3.135871171951294,2.927901029586792
45,3.287087917327881,17.065088272094727,-0.6804931163787842,-3.290015935897827,2.92791748046875
