epoch,train_total,train_reconstruction,train_codebook,train_commitment,validation_total,validation_reconstruction,validation_codebook,validation_commitment
15,0.06848271749913692,0.018701740307733417,0.03982478240504861,0.03982478193938732,0.060319237411022186,0.017803028225898743,0.034012965857982635,0.034012969583272934
16,0.055829170159995556,0.017287786584347486,0.03083310672082007,0.030833107186481357,0.04995410516858101,0.016575392335653305,0.026702968403697014,0.026702972128987312
17,0.046266050077974796,0.016194738447666168,0.024057048838585615,0.024057049304246902,0.04135164991021156,0.01568691059947014,0.02053179033100605,0.0205317921936512
18,0.038206938188523054,0.015409020241349936,0.018238334683701396,0.01823833491653204,0.03411255031824112,0.015021402388811111,0.015272918157279491,0.01527292001992464
19,0.031555801164358854,0.01483080955222249,0.013379993382841349,0.013379993964917958,0.028270848095417023,0.014539511874318123,0.010985069908201694,0.010985069908201694
20,0.026320845587179065,0.014413188793696463,0.009526125388219953,0.009526125388219953,0.023869037628173828,0.014213492162525654,0.00772443599998951,0.00772443599998951
21,0.022446107817813754,0.014107983210124075,0.006670499395113438,0.006670499453321099,0.020676489919424057,0.013944278471171856,0.005385769996792078,0.005385769996792078
22,0.019690372282639146,0.013875747099518776,0.004651700146496296,0.004651699971873313,0.018454207107424736,0.013745477423071861,0.003766983514651656,0.003766983514651656
23,0.017780746798962355,0.013698347844183445,0.003265918989200145,0.0032659190183039755,0.016912151128053665,0.013594074174761772,0.002654462354257703,0.002654462354257703
24,0.016457904828712344,0.013555887620896101,0.0023216140689328313,0.0023216140980366617,0.015849892050027847,0.013461818918585777,0.0019104589009657502,0.0019104587845504284
25,0.015545738860964775,0.013434996362775564,0.0016885938675841317,0.0016885938675841317,0.01511863898485899,0.01335837785154581,0.0014082087436690927,0.0014082087436690927
26,0.014901344664394855,0.013327908352948725,0.001258748976397328,0.001258748976397328,0.014596420340240002,0.013258304446935654,0.0010704925516620278,0.0010704925516620278
27,0.014437243808060884,0.013229895732365549,0.0009658784692874178,0.0009658784838393331,0.014208309352397919,0.013168449513614178,0.0008318877662532032,0.0008318876498378813
28,0.014076904277317226,0.013130941078998148,0.0007567705688416027,0.0007567705761175603,0.013885797932744026,0.013061636127531528,0.000659329176414758,0.000659329176414758
29,0.013775874162092805,0.013023163774050772,0.0006021682711434551,0.0006021682856953703,0.013602138496935368,0.012942250818014145,0.0005279100150801241,0.0005279100150801241
30,0.013495794264599681,0.012890064157545567,0.000484584135847399,0.0004845841285714414,0.013295318000018597,0.012761389836668968,0.00042714274604804814,0.00042714274604804814
31,0.013125773170031607,0.01262977602891624,0.0003967977718275506,0.0003967977681895718,0.012838569469749928,0.01239587552845478,0.00035415508318692446,0.000354155054083094
32,0.012557160574942827,0.012144066044129431,0.00033047561737475917,0.00033047560646082275,0.011908973567187786,0.011515770107507706,0.0003145627852063626,0.00031456281431019306
33,0.011619773460552096,0.011204638169147074,0.00033210809124284424,0.00033210808760486543,0.011203866451978683,0.010783053003251553,0.0003366504970472306,0.0003366504970472306
34,0.010962610598653555,0.010532061220146716,0.00034443955155438744,0.0003444395442784298,0.010520447045564651,0.010034050792455673,0.00038911731098778546,0.00038911736919544637
35,0.010268242680467665,0.009764150949195027,0.0004032733413623646,0.00040327332317247055,0.009728599339723587,0.009189842268824577,0.00043100598850287497,0.0004310059593990445
36,0.009472226956859231,0.00888279383070767,0.00047154645289992914,0.00047154645653790794,0.009066837839782238,0.008403734304010868,0.0005304825026541948,0.0005304825608618557
37,0.008774426649324596,0.008053517842199653,0.0005767269758507609,0.0005767269831267186,0.008341292850673199,0.007492744363844395,0.0006788386963307858,0.0006788386963307858
38,0.008167399908415973,0.007208539347629994,0.0007670883423998021,0.0007670883496757597,0.007886647246778011,0.006765331141650677,0.0008970526396296918,0.00089705252321437
39,0.007770262658596039,0.006574509607162327,0.0009566025619278662,0.0009566025400999933,0.007602426689118147,0.006301019340753555,0.001041125855408609,0.001041125738993287
40,0.007463392452336848,0.006120588048361242,0.0010742434242274612,0.0010742433951236308,0.00739686656743288,0.00593537138774991,0.0011691959807649255,0.0011691959807649255
41,0.007191515760496259,0.005703814094886184,0.0011901613470399752,0.0011901613470399752,0.007159555330872536,0.005619845353066921,0.0012317681685090065,0.0012317681685090065
42,0.006900130130816251,0.005337965558283031,0.0012497316347435117,0.0012497316201915964,0.006779165472835302,0.005186077207326889,0.0012744707055389881,0.0012744707055389881
43,0.00657871353905648,0.004987135820556432,0.001273262154427357,0.0012732621980831027,0.0065542361699044704,0.004910832736641169,0.0013147228164598346,0.0013147228164598346
44,0.006629330571740866,0.004922690044622868,0.0013653123169206083,0.0013653122587129474,0.006455755792558193,0.004753788933157921,0.0013615734642371535,0.0013615734642371535
45,0.006548842880874872,0.004806139273568988,0.001394162856740877,0.0013941627839813009,0.006505514960736036,0.004719311371445656,0.0014289628015831113,0.0014289628015831113
46,0.006390491034835577,0.0046502535697072744,0.0013921898935222998,0.0013921899517299607,0.006365923210978508,0.004664360545575619,0.001361250295303762,0.001361250295303762
47,0.006279307825025171,0.004593973339069635,0.0013482676295097917,0.0013482676586136222,0.006109449081122875,0.004301739856600761,0.0014461673563346267,0.0014461673563346267
48,0.00608498411020264,0.004213901702314615,0.0014968659088481218,0.001496865865192376,0.006275947205722332,0.004342285916209221,0.0015469290083274245,0.0015469291247427464
49,0.006173476460389793,0.004171838809270412,0.0016013100976124406,0.0016013100394047797,0.0061213551089167595,0.004064345732331276,0.0016456075245514512,0.0016456075245514512
50,0.005959297297522426,0.0038483070384245366,0.0016887922829482704,0.0016887922975001857,0.005865149199962616,0.0036689017433673143,0.0017569981282576919,0.0017569978954270482
