epoch,train_total,train_reconstruction,train_codebook,train_commitment,validation_total,validation_reconstruction,validation_codebook,validation_commitment
1,0.23946217820048332,0.23699890449643135,0.0019706205057445914,0.001970620491192676,0.23967915773391724,0.23341774940490723,0.005009130109101534,0.005009130574762821
2,0.24447417072951794,0.2302093431353569,0.011411863553803414,0.01141186396125704,0.25648027658462524,0.22550493478775024,0.024780282750725746,0.024780282750725746
3,0.284324511885643,0.22051545977592468,0.0510472406167537,0.0510472406167537,0.3408939838409424,0.21287325024604797,0.10241657495498657,0.10241657495498657
4,0.4388378746807575,0.20456567406654358,0.18741775024682283,0.18741774652153254,0.625421941280365,0.1920510083436966,0.34669676423072815,0.34669676423072815
5,0.9102239459753036,0.17917373217642307,0.5848401747643948,0.5848401747643948,1.4048126935958862,0.1605582982301712,0.995403528213501,0.995403528213501
6,1.9189127534627914,0.143314890563488,1.4204782992601395,1.4204782545566559,2.5563457012176514,0.12009945511817932,1.948996901512146,1.948996901512146
7,2.9272823333740234,0.10194514226168394,2.2602697163820267,2.2602697759866714,3.304844379425049,0.07985386252403259,2.5799925327301025,2.5799925327301025
8,3.2317501306533813,0.06615739641711116,2.5324741303920746,2.5324741899967194,2.8408291339874268,0.05141429230570793,2.231531858444214,2.2315316200256348
9,2.2866778820753098,0.043986497446894646,1.7941530346870422,1.7941530793905258,1.5890942811965942,0.036453355103731155,1.2421127557754517,1.2421127557754517
10,1.175303690135479,0.03279958642087877,0.9140032604336739,0.9140033051371574,0.7410632371902466,0.028989724814891815,0.5696588158607483,0.5696587562561035
11,0.5389273390173912,0.026974993757903576,0.4095618687570095,0.409561887383461,0.33869507908821106,0.0247779693454504,0.25113368034362793,0.25113365054130554
12,0.25423045828938484,0.02360208658501506,0.18450269848108292,0.18450269289314747,0.17151936888694763,0.022295452654361725,0.11937913298606873,0.11937913298606873
13,0.1377958944067359,0.021631743060424924,0.09293132275342941,0.09293132554739714,0.10417207330465317,0.02081482857465744,0.06668579578399658,0.06668579578399658
14,0.09013745747506618,0.02023815526627004,0.05591944186016917,0.055919443257153034,0.07529310882091522,0.019321387633681297,0.04477737471461296,0.04477737471461296
