epoch,train_teacher_forced_mse,validation_teacher_forced_mse
1,0.09405372400457661,0.01928967796266079
2,0.012409709859639406,0.010025984607636929
3,0.006185216635155181,0.004195030312985182
4,0.0037821963002594807,0.003472833661362529
5,0.003304752695839852,0.0030936752445995808
6,0.003011608108257254,0.0029415092431008816
7,0.002907095457582424,0.0028909603133797646
8,0.002873384510166943,0.0028248969465494156
9,0.002799892313002298,0.002768793608993292
10,0.0027723975169161954,0.0027463093865662813
11,0.0027328782016411424,0.002749713370576501
12,0.002728223684243858,0.0026717118453234434
13,0.0027051159413531423,0.0027260680217295885
14,0.002643484932680925,0.002644981723278761
15,0.002603529467402647,0.0025785579346120358
16,0.002554585827359309,0.0025681329425424337
17,0.0025107095134444535,0.0024697904009371996
18,0.002444662735797465,0.0024519215803593397
19,0.0024068920368639133,0.002405190607532859
20,0.0023490717673363784,0.0023111077025532722
21,0.0022832273389212787,0.0022641890682280064
22,0.002221236063633114,0.002196158282458782
23,0.002155385232375314,0.0021057557314634323
24,0.002095780548794816,0.0020558859687298536
25,0.002038547992318248,0.001982256304472685
26,0.001954179422076171,0.0019158490467816591
27,0.0019212400657124817,0.0018554325215518475
28,0.001857814349932596,0.0017877882346510887
29,0.0018053028907161206,0.0018003757577389479
30,0.0017844623265167077,0.0017107923049479723
31,0.0016979457286652178,0.0016363848699256778
32,0.0016398687827556084,0.0016072825528681278
33,0.001611241129770254,0.001564808888360858
34,0.0015816649441452075,0.0015301946550607681
35,0.0015599749943551917,0.001507079228758812
36,0.0015509251097682863,0.0014855358749628067
37,0.0015336767149468262,0.0014552855864167213
38,0.0014870429489140709,0.0014370442368090153
39,0.0014580928642923634,0.0014224854530766606
40,0.0014528697065543383,0.0014059707755222917
41,0.0014451233728323132,0.0014300331240519881
42,0.0014482702245004475,0.0013936461182311177
43,0.0014054504281375557,0.0013605777639895678
44,0.0013885015020302187,0.0013536872575059533
45,0.0013897913158871233,0.0013543515233322978
46,0.0013663712209866692,0.0013312656665220857
47,0.0013654209033120424,0.0013158217770978808
48,0.0013498434661111485,0.0013148841680958867
49,0.0013362952837875734,0.001307983766309917
50,0.001329560987263297,0.0012695491313934326
51,0.0013020485154508303,0.0012855109525844455
52,0.0013015640433877707,0.0012605962110683322
53,0.0013105935067869723,0.0012422085274010897
54,0.0012816739229795833,0.0012339786626398563
55,0.0012815877271350473,0.0012459387071430683
56,0.0012746041757054627,0.0013136481866240501
57,0.0013208398886490613,0.0014573367079719901
58,0.0013116170496990283,0.0012230598367750645
59,0.0012646486478236814,0.0012975556310266256
60,0.0012681016232818365,0.0012066797353327274
