epoch,train_total,train_position,train_image,validation_total,validation_position,validation_image
1,0.23392508924007416,0.12783158011734486,0.21218701576193175,0.09982360154390335,0.027392417192459106,0.1448623687028885
2,0.04637533884185056,0.013217247537492463,0.06631618388928473,0.018962819129228592,0.007846519351005554,0.022232599556446075
3,0.014911970434089502,0.006381967638541634,0.01706000561049829,0.012491550296545029,0.005280330777168274,0.014422439970076084
4,0.01175092242192477,0.0048201935035952674,0.013861457739646236,0.011998670175671577,0.005247961264103651,0.013501418754458427
5,0.011397051353317996,0.004725484177470207,0.01334313404125472,0.011016853153705597,0.004414206370711327,0.01320529356598854
6,0.010927365277893841,0.004367749604474132,0.013119231211021543,0.011049607768654823,0.004529592115432024,0.013040032237768173
7,0.010644575619759658,0.0041496760192482425,0.012989799569671353,0.011134990490972996,0.004668223671615124,0.012933533638715744
8,0.010859308298677206,0.004407239204738289,0.012904138149072727,0.011025000363588333,0.004590417258441448,0.01286916621029377
9,0.010407331904085973,0.00398339483460101,0.012847874080762267,0.010655481368303299,0.004243358504027128,0.012824245728552341
10,0.010344606668998798,0.003940176112034048,0.012808861094526947,0.010706508532166481,0.004311167169362307,0.012790683656930923
11,0.01061086628275613,0.004220166942104697,0.012781398526082436,0.010290057398378849,0.003906407859176397,0.012767299078404903
12,0.010101811688703796,0.0037205041444394737,0.012762615185541412,0.010376956313848495,0.004000992979854345,0.012751927599310875
13,0.010112172535931071,0.003737989793686817,0.012748365484488508,0.010828991420567036,0.004457947798073292,0.012742087244987488
14,0.010125113263105353,0.0037559406482614577,0.01273834495805204,0.0101349838078022,0.0037684112321585417,0.01273314468562603
15,0.010060454214302203,0.003695378817307452,0.0127301507939895,0.010050583630800247,0.003687158226966858,0.012726851738989353
16,0.00999604402265201,0.0036338628463757536,0.012724362391357621,0.010040124878287315,0.0036794263869524,0.01272139698266983
17,0.01009519879395763,0.003735505878770103,0.012719385791569948,0.010002614930272102,0.003643567906692624,0.01271809358149767
18,0.010015487709703544,0.0036575896956492215,0.012715795853485664,0.010482162237167358,0.004124743863940239,0.012714835815131664
19,0.010041642972889045,0.0036852791090495884,0.012712727533653378,0.010061938315629959,0.0037058310117572546,0.012712214142084122
20,0.010092563151071468,0.0037374007321583727,0.01271032472141087,0.010242270305752754,0.0038875779137015343,0.012709385715425014
21,0.01000461537235727,0.003650439359868566,0.012708351947367191,0.01003284938633442,0.00367920589633286,0.012707287445664406
22,0.009991716942749918,0.003638437580472479,0.012706558763359984,0.010357369668781757,0.004004725720733404,0.012705287896096706
23,0.010317452057885626,0.003964707109844312,0.01270548968265454,0.011139677837491035,0.0047872248105704784,0.01270490512251854
24,0.010112356472139558,0.0037603723855378726,0.012703968134398261,0.010227932594716549,0.003876288654282689,0.012703288346529007
25,0.010363893622222045,0.004012299575454866,0.012703188345767558,0.010312908329069614,0.0039616962894797325,0.012702424079179764
26,0.010010288290989896,0.003659170693329846,0.012702235059502224,0.010496128350496292,0.004145173821598291,0.012701909989118576
27,0.010270898385594288,0.003920153297561531,0.012701490156662961,0.009898567572236061,0.0035480253864079714,0.012701084837317467
28,0.00973193832517912,0.0033814939573251954,0.01270088879391551,0.010057450272142887,0.0037069618701934814,0.012700976803898811
29,0.009824372478760779,0.0034741749501942345,0.012700394843704998,0.009903603233397007,0.0035534438211470842,0.012700318358838558
30,0.009943633379104236,0.003593630147709822,0.01270000652099649,0.010596152395009995,0.004246206488460302,0.01269989088177681
31,0.009930598743570348,0.003580808396994447,0.012699580906579891,0.01004895567893982,0.003699307329952717,0.01269929576665163
32,0.009982939072263738,0.0036333730580129973,0.012699132047904035,0.009904911741614342,0.00355539470911026,0.012699033133685589
33,0.009940399206243455,0.0035909563108968237,0.012698886101134121,0.009831393137574196,0.003481939435005188,0.012698907405138016
34,0.009687269882609447,0.003337983561020034,0.012698572711087763,0.009904912672936916,0.0035557241644710302,0.01269837748259306
35,0.009729187353514135,0.0033800262899603695,0.012698322146510085,0.009828285314142704,0.0034792376682162285,0.012698095291852951
36,0.009889853691371778,0.0035407826750694462,0.012698142052007219,0.009897824376821518,0.0035488251596689224,0.012697999365627766
37,0.00963301230998089,0.003284064820036292,0.012697894941084087,0.009815364144742489,0.003466501832008362,0.012697724625468254
38,0.009639498040390512,0.003290642416686751,0.012697711198901137,0.010224400088191032,0.0038755517452955246,0.012697696685791016
39,0.009825473496069511,0.003476671176031232,0.012697604640076557,0.009798986837267876,0.0034501254558563232,0.012697722762823105
40,0.009576651888589064,0.00322794735742112,0.012697409295166532,0.01055305264890194,0.00420432910323143,0.012697447091341019
41,0.009693938423879445,0.0033452820886547365,0.012697312786864737,0.00994990486651659,0.0036013163626194,0.01269717700779438
42,0.009611562515298525,0.0032630069908918813,0.012697110961501798,0.009810492396354675,0.0034619399812072515,0.012697105295956135
43,0.009715007812095186,0.003366462275153026,0.012697091132091979,0.010109161026775837,0.0037607045378535986,0.012696913443505764
44,0.00992631931633999,0.0035778842478369675,0.012696870020590723,0.010678254067897797,0.004329716321080923,0.012697076424956322
45,0.009806145098991692,0.0034577520176147423,0.012696785929923257,0.010257275775074959,0.003908876795321703,0.012696797959506512
46,0.009945203744185468,0.0035968522036758563,0.01269670311982433,0.009952361695468426,0.0036041003186255693,0.012696523219347
47,0.009677527782817682,0.0033292158041149378,0.012696624151431024,0.01075451634824276,0.004406295251101255,0.012696443125605583
48,0.009779999614693224,0.003431743748175601,0.012696511810645461,0.010290571488440037,0.00394227122887969,0.012696600519120693
49,0.01003559585660696,0.0036874161645149193,0.01269635942298919,0.010029015131294727,0.0036808510776609182,0.012696327641606331
50,0.010006676544435322,0.0036585347649330893,0.012696283481394252,0.01021716371178627,0.003869065083563328,0.01269619818776846
