epoch,train_total,train_consistency,train_reward,train_value,validation_total,validation_consistency,validation_reward,validation_value
1,1.6330649107694626,0.19381877779960632,0.5519934706389904,0.33525922521948814,1.39635169506073,0.1624012291431427,0.47525373101234436,0.28344300389289856
2,1.3398197889328003,0.1444860864430666,0.4621858522295952,0.2709620036184788,1.2260987758636475,0.12031521648168564,0.4341891407966614,0.23740530014038086
3,1.1842921525239944,0.10828487109392881,0.423045139759779,0.22991700656712055,1.106062412261963,0.09811748564243317,0.4020712971687317,0.20380230247974396
4,1.0774532854557037,0.09525008220225573,0.3921978324651718,0.197807552292943,1.0257394313812256,0.08728931844234467,0.3797479271888733,0.17895425856113434
5,1.0013211816549301,0.0835125045850873,0.3710324540734291,0.17574377357959747,0.9735936522483826,0.08647892624139786,0.3627857565879822,0.16154320538043976
6,0.9495522826910019,0.09294406417757273,0.34989380836486816,0.15682059153914452,0.9446901082992554,0.09373600780963898,0.3502075672149658,0.15053899586200714
7,0.9261994436383247,0.0815486591309309,0.34567008167505264,0.15331062115728855,0.9317453503608704,0.08923765271902084,0.3475303053855896,0.1474471092224121
8,0.898362398147583,0.08032988663762808,0.3364012725651264,0.1452299738302827,0.9066686630249023,0.06227121874690056,0.3486592471599579,0.14707893133163452
9,0.8798978477716446,0.06823362177237868,0.33445926383137703,0.14274569414556026,0.8872694969177246,0.05931239575147629,0.34285590052604675,0.14224529266357422
10,0.860150545835495,0.058838899713009596,0.33059389516711235,0.1401238525286317,0.8788143396377563,0.06006854772567749,0.33946317434310913,0.1398194581270218
11,0.8483744040131569,0.05775211285799742,0.32626577466726303,0.13809073250740767,0.8653745651245117,0.04855438321828842,0.3386651873588562,0.1394897997379303
12,0.8227852880954742,0.05786611000075936,0.3160073384642601,0.13290451187640429,0.8419308662414551,0.04997164383530617,0.32906222343444824,0.1338348090648651
13,0.7979260310530663,0.052143475506454706,0.3083605170249939,0.1290615303441882,0.8089094161987305,0.05743680149316788,0.31277668476104736,0.12591922283172607
14,0.7641342207789421,0.053377232514321804,0.2940228022634983,0.12271137908101082,0.7680010199546814,0.047384001314640045,0.30021247267723083,0.12019205838441849
15,0.7159043252468109,0.04956722306087613,0.27601500414311886,0.11430710926651955,0.7271357178688049,0.05332286283373833,0.2809998095035553,0.1118132621049881
16,0.6649465784430504,0.05008747614920139,0.25486405566334724,0.1051309909671545,0.7193543910980225,0.04598667472600937,0.28140345215797424,0.1105608269572258
17,0.699336476624012,0.05442083766683936,0.2680475041270256,0.10882063489407301,0.7094829082489014,0.06267568469047546,0.2705610692501068,0.10568510740995407
18,0.6729326695203781,0.04898360185325146,0.2593755107372999,0.10519803315401077,0.6628772616386414,0.052023690193891525,0.2563427984714508,0.09816794842481613
19,0.6010930016636848,0.04403409827500582,0.23312100023031235,0.09081690851598978,0.6439931988716125,0.04197560250759125,0.2532772123813629,0.09546315670013428
20,0.57148527354002,0.04287008894607425,0.22155645862221718,0.08550226967781782,0.6087455749511719,0.04555834084749222,0.23799781501293182,0.08719155937433243
21,0.548089362680912,0.042111074551939964,0.21288079395890236,0.08021669369190931,0.5860249400138855,0.04708074778318405,0.22830891609191895,0.08232636004686356
22,0.5297366678714752,0.0412630089558661,0.20664059184491634,0.07519247569143772,0.5925581455230713,0.048591144382953644,0.2303454875946045,0.08327604085206985
23,0.5053723752498627,0.04081824002787471,0.19774744473397732,0.06905924389138818,0.5422837734222412,0.042046088725328445,0.2139418125152588,0.07235407084226608
24,0.4732965864241123,0.03800914669409394,0.1866538394242525,0.06197976553812623,0.5084102749824524,0.03883873671293259,0.2019611895084381,0.0656491294503212
25,0.4529872126877308,0.03590774117037654,0.17997541092336178,0.05712865246459842,0.48834434151649475,0.03919060900807381,0.19379529356956482,0.06156313791871071
26,0.43429483100771904,0.0350181523244828,0.17347692139446735,0.0523228389210999,0.46546292304992676,0.036023687571287155,0.18620772659778595,0.057023786008358
27,0.4289022423326969,0.033845130586996675,0.1721683405339718,0.050720433704555035,0.46658432483673096,0.02997685596346855,0.19069655239582062,0.05521436035633087
28,0.41267819330096245,0.03221936756744981,0.16679021902382374,0.046878380700945854,0.4439818561077118,0.03357604146003723,0.18024730682373047,0.04991121217608452
29,0.3912508301436901,0.03108668583445251,0.15934626385569572,0.04147162055596709,0.42293208837509155,0.03148664906620979,0.17263153195381165,0.046182360500097275
30,0.38528694957494736,0.02956497250124812,0.1579192690551281,0.039883446879684925,0.4079437851905823,0.03098028339445591,0.16702093183994293,0.04292163997888565
31,0.37829436734318733,0.029844535049051046,0.15522528998553753,0.03799925930798054,0.4013940393924713,0.02992049977183342,0.16528292000293732,0.040907710790634155
32,0.36153697222471237,0.02938527730293572,0.14893054962158203,0.03429059567861259,0.38474035263061523,0.02874797210097313,0.15947134792804718,0.037049680948257446
33,0.35389432311058044,0.02853959845378995,0.14660561084747314,0.032143506687134504,0.3829410672187805,0.02724895253777504,0.15946435928344727,0.03676338493824005
34,0.3489103130996227,0.028077749768272042,0.14490591268986464,0.03102073771879077,0.37899595499038696,0.02926623448729515,0.15760798752307892,0.03451374173164368
35,0.3465866893529892,0.028484773356467485,0.14392667636275291,0.030248556286096573,0.36736923456192017,0.02856181003153324,0.1530420333147049,0.03272337093949318
36,0.35039062052965164,0.02713523735292256,0.14636297523975372,0.03052943153306842,0.3808499872684479,0.029065227136015892,0.15857693552970886,0.034630898386240005
37,0.3395501598715782,0.02809619321487844,0.14155236538499594,0.028349234024062753,0.35762959718704224,0.02687448263168335,0.15067967772483826,0.029395751655101776
38,0.3503471165895462,0.026917281094938517,0.14631881564855576,0.03079220443032682,0.35217493772506714,0.026182686910033226,0.14809323847293854,0.029805772006511688
39,0.3544159047305584,0.028103186283260584,0.14814236015081406,0.030028002569451928,0.37281370162963867,0.028492514044046402,0.1559283435344696,0.03246450051665306
