epoch,train_total,train_consistency,train_reward,train_value,validation_total,validation_consistency,validation_reward,validation_value
40,0.33391527459025383,0.027090201852843165,0.14008805714547634,0.026648950297385454,0.3500726819038391,0.024851398542523384,0.1487758606672287,0.02766953781247139
41,0.32292094826698303,0.026538589969277382,0.1359056644141674,0.024571025744080544,0.3412163555622101,0.0275330301374197,0.14391538500785828,0.025852560997009277
42,0.31454238668084145,0.026822016574442387,0.1329542864114046,0.02181179914623499,0.3325580358505249,0.025592422112822533,0.1417492926120758,0.02346702665090561
43,0.31268569082021713,0.026461154455319047,0.13259865436702967,0.021027227398008108,0.3393688201904297,0.02680019475519657,0.14421699941158295,0.024134643375873566
44,0.31246811151504517,0.02662910521030426,0.13246534764766693,0.0209083070512861,0.3232876658439636,0.025812799111008644,0.1377653330564499,0.021944209933280945
45,0.30497705936431885,0.025725103449076414,0.12978742830455303,0.01967710070312023,0.32337555289268494,0.025688547641038895,0.1382981836795807,0.021090639755129814
46,0.30629623495042324,0.025841300142928958,0.13068970758467913,0.0190755189396441,0.32178834080696106,0.024584848433732986,0.13832075893878937,0.020561974495649338
47,0.3034503534436226,0.02521621552295983,0.12956694047898054,0.0191002634819597,0.3171166181564331,0.024560052901506424,0.1365145742893219,0.019527416676282883
48,0.29907481744885445,0.02513837581500411,0.1279959063977003,0.017944621853530407,0.33108624815940857,0.026141220703721046,0.14079199731349945,0.02336101420223713
49,0.3021138682961464,0.02488317247480154,0.12949005886912346,0.018250578665174544,0.3153188228607178,0.023553909733891487,0.13605749607086182,0.0196499265730381
50,0.30022579431533813,0.024528078269213438,0.12860763724893332,0.018482441315427423,0.3372589349746704,0.025867268443107605,0.1437671184539795,0.023857416585087776
51,0.2959110848605633,0.02465174114331603,0.12703729700297117,0.017184750991873443,0.31451481580734253,0.022853244096040726,0.13658252358436584,0.018496526405215263
52,0.29452162235975266,0.023637569276615977,0.12707300297915936,0.016738049453124404,0.312188982963562,0.02405676618218422,0.1349082887172699,0.01831565611064434
53,0.29073110595345497,0.023985424544662237,0.12508329190313816,0.01657909562345594,0.30544817447662354,0.022951681166887283,0.13275715708732605,0.016982154920697212
54,0.2936646118760109,0.023423347622156143,0.12675357144325972,0.016734119737520814,0.3017445206642151,0.02320106327533722,0.1311829388141632,0.016177600249648094
55,0.28959470242261887,0.023563756374642253,0.125320041552186,0.015390858054161072,0.3256254494190216,0.02441137097775936,0.14024989306926727,0.020714275538921356
56,0.29393573105335236,0.023600588785484433,0.1270034098997712,0.016328320372849703,0.307171106338501,0.0219571590423584,0.13383324444293976,0.017547471448779106
57,0.286146380007267,0.0232125255279243,0.12381805200129747,0.015297748614102602,0.30567315220832825,0.022881004959344864,0.13320612907409668,0.016379892826080322
58,0.28320602141320705,0.022848175140097737,0.12299528904259205,0.014367275638505816,0.29789456725120544,0.02268807962536812,0.12996086478233337,0.015284737572073936
59,0.27862272411584854,0.02260799938812852,0.1212704349309206,0.01347385800909251,0.29515013098716736,0.021957380697131157,0.12939174473285675,0.014409273862838745
60,0.28263603523373604,0.022422101814299822,0.12296255212277174,0.01428882428444922,0.296059250831604,0.0219340268522501,0.12991496920585632,0.014295283704996109
