epoch,train_macro_mse,val_macro_mse
1,0.13595420867204666,0.12197080999612808
2,0.1202768087387085,0.11696215718984604
3,0.11481828801333904,0.1179347038269043
4,0.1122361496090889,0.1179702952504158
5,0.11044061742722988,0.11593979597091675
6,0.10752930492162704,0.11114948242902756
7,0.1036609634757042,0.10412327200174332
8,0.09986714646220207,0.09945721179246902
9,0.09640016406774521,0.09487249702215195
10,0.09194041974842548,0.09063231199979782
11,0.08730150014162064,0.08495966345071793
12,0.08295939303934574,0.07964138686656952
13,0.07775488123297691,0.07425852864980698
14,0.07290944643318653,0.06755416840314865
15,0.06754511222243309,0.0616375096142292
16,0.06276232842355967,0.057860489934682846
17,0.05674490239471197,0.05206682160496712
18,0.05246169399470091,0.049183983355760574
19,0.048025764524936676,0.04352622851729393
20,0.043213251046836376,0.04029564931988716
21,0.038616590201854706,0.0348157063126564
22,0.03404125664383173,0.031178055331110954
23,0.029759948141872883,0.026153722777962685
24,0.026468061842024326,0.025337131693959236
25,0.023630772717297077,0.02044309489428997
26,0.021766568534076214,0.018558302894234657
27,0.019324422348290682,0.01803693361580372
28,0.018383076414465904,0.017335666343569756
29,0.01829974539577961,0.018803337588906288
30,0.018208001740276814,0.01713205873966217
31,0.018038128037005663,0.017102347686886787
32,0.017735120374709368,0.0177560206502676
33,0.017683682031929493,0.01723143272101879
34,0.017482266761362553,0.017439957708120346
35,0.017412926070392132,0.016783451661467552
36,0.01722288876771927,0.016608379781246185
37,0.017114328686147928,0.016725122928619385
38,0.016963955014944077,0.01647249050438404
39,0.016918169800192118,0.016906363889575005
40,0.01693833852186799,0.016365183517336845
41,0.01688168104737997,0.016475457698106766
42,0.016891089268028736,0.016500137746334076
43,0.01682571368291974,0.016363872215151787
44,0.016960531007498503,0.01623557321727276
45,0.016862331423908472,0.016264919191598892
46,0.0168072571977973,0.01710606925189495
47,0.016963117755949497,0.016463909298181534
48,0.016840361757203937,0.01660487800836563
49,0.0167271732352674,0.016017084941267967
50,0.016553451772779226,0.016020366922020912
51,0.016375511419028044,0.01592063345015049
52,0.01617541187442839,0.016000930219888687
53,0.016286522150039673,0.0157270859926939
54,0.016147489426657557,0.01601850427687168
55,0.016143958317115903,0.015622644685208797
56,0.01612251903861761,0.015690458938479424
57,0.01604158105328679,0.015868980437517166
58,0.015967101324349642,0.015651050955057144
59,0.015940009150654078,0.01580723188817501
60,0.016120556741952896,0.015768567100167274
61,0.016084376722574234,0.015813207253813744
62,0.016013281885534525,0.015448597259819508
63,0.015875855926424265,0.015717387199401855
64,0.015804826514795423,0.01539271418005228
65,0.015854205237701535,0.015534716658294201
66,0.01573883485980332,0.015430890955030918
67,0.01573904976248741,0.015612089075148106
68,0.01566007803194225,0.01579185388982296
69,0.015689487801864743,0.015596923418343067
70,0.015931983711197972,0.015614218078553677
71,0.0156293127220124,0.015251271426677704
72,0.015572333708405495,0.015490327961742878
73,0.015541000291705132,0.015211250633001328
74,0.015568382339552045,0.015429600141942501
75,0.015496847685426474,0.015239245258271694
76,0.015461458824574947,0.015327896922826767
77,0.01553152035921812,0.015272893942892551
78,0.015473178122192621,0.015338719822466373
79,0.01553942239843309,0.015283253975212574
80,0.01539414282888174,0.015683522447943687
81,0.015352054499089718,0.015504136681556702
82,0.01574284420348704,0.015783412382006645
83,0.015501562971621752,0.01561986654996872
84,0.015409123385325074,0.015107485465705395
85,0.015290212584659457,0.015241138637065887
86,0.015317100333049893,0.015350017696619034
87,0.015295322518795729,0.015082549303770065
88,0.015178540954366326,0.015266469679772854
89,0.015238476218655705,0.015161982737481594
90,0.015257206745445728,0.015130921266973019
91,0.015198055887594819,0.015215184539556503
92,0.015097068855538964,0.015117193572223186
93,0.015112326480448246,0.015170395374298096
94,0.015100180869922042,0.01519879698753357
95,0.015055923024192452,0.015214551240205765
96,0.01517157070338726,0.015173637308180332
97,0.014984115259721875,0.015153569169342518
98,0.015091581037268043,0.0151560939848423
99,0.015163559233769774,0.01535799354314804
100,0.015157206682488322,0.014978098683059216
